redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance
Jon Fitch,Demian Maia,Demian Maia,UFC 156: Aldo vs Edgar,Kim Winslow,Decision - Unanimous,0,0,6 of 16,12 of 17,37%,70%,36 of 55,63 of 74,0 of 0,7 of 17,---,41%,1,3,3,5:00,"6' 0""","6' 1""","74""","72""",Orthodox,Southpaw
Joseph Benavidez,Ian McCall,Joseph Benavidez,UFC 156: Aldo vs Edgar,Steve Mazzagatti,Decision - Unanimous,0,0,57 of 184,40 of 113,30%,35%,62 of 189,54 of 127,0 of 1,1 of 4,0%,25%,0,0,3,5:00,"5' 4""","5' 5""","65""","64""",Southpaw,Orthodox
Gleison Tibau,Evan Dunham,Evan Dunham,UFC 156: Aldo vs Edgar,Yves Lavigne,Decision - Split,0,0,37 of 169,91 of 237,21%,38%,37 of 169,98 of 245,2 of 9,0 of 9,22%,0%,1,0,3,5:00,"5' 10""","5' 10""","71""","70""",Southpaw,Southpaw
Tyron Woodley,Jay Hieron,Tyron Woodley,UFC 156: Aldo vs Edgar,Herb Dean,KO/TKO,1,0,15 of 22,0 of 2,68%,0%,15 of 22,0 of 2,0 of 0,0 of 0,---,---,0,0,1,0:36,"5' 9""","6' 0""","74""","75""",Orthodox,Orthodox
Jacob Volkmann,Bobby Green,Bobby Green,UFC 156: Aldo vs Edgar,Kim Winslow,Submission,0,0,6 of 51,54 of 90,11%,60%,11 of 60,69 of 106,4 of 12,1 of 1,33%,100%,0,1,3,4:25,"5' 9""","5' 10""","71""","71""",Southpaw,Orthodox
Yves Edwards,Isaac Vallie-Flagg,Isaac Vallie-Flagg,UFC 156: Aldo vs Edgar,Yves Lavigne,Decision - Split,0,0,58 of 115,76 of 222,50%,34%,64 of 125,129 of 284,1 of 3,0 of 0,33%,---,0,0,3,5:00,"5' 9""","5' 8""","73""","70""",Southpaw,Orthodox
Chico Camus,Dustin Kimura,Dustin Kimura,UFC 156: Aldo vs Edgar,Herb Dean,Submission,0,0,23 of 41,16 of 56,56%,28%,34 of 55,26 of 67,1 of 3,0 of 0,33%,---,0,5,3,1:50,"5' 6""","5' 7""","66""","71""",Orthodox,Orthodox
Edwin Figueroa,Francisco Rivera,Francisco Rivera,UFC 156: Aldo vs Edgar,Kim Winslow,KO/TKO,1,1,24 of 97,51 of 127,24%,40%,36 of 109,54 of 131,1 of 1,2 of 2,100%,100%,0,0,2,4:20,"5' 7""","5' 8""","69""","70""",Orthodox,Orthodox
Demetrious Johnson,John Dodson,Demetrious Johnson,UFC on FOX: Johnson vs Dodson,John McCarthy,Decision - Unanimous,0,1,127 of 247,57 of 156,51%,36%,181 of 303,71 of 170,5 of 15,1 of 4,33%,25%,0,0,5,5:00,"5' 3""","5' 3""","66""","66""",Orthodox,Orthodox
Quinton Jackson,Glover Teixeira,Glover Teixeira,UFC on FOX: Johnson vs Dodson,Herb Dean,Decision - Unanimous,0,1,53 of 169,80 of 179,31%,44%,54 of 170,103 of 207,0 of 4,5 of 5,0%,100%,0,0,3,5:00,"6' 1""","6' 2""","73""","76""",Orthodox,Orthodox
Anthony Pettis,Donald Cerrone,Anthony Pettis,UFC on FOX: Johnson vs Dodson,Robert Madrigal,KO/TKO,1,0,18 of 28,4 of 12,64%,33%,18 of 28,4 of 12,0 of 0,0 of 0,---,---,0,0,1,2:35,"5' 10""","6' 1""","72""","73""",Orthodox,Orthodox
Erik Koch,Ricardo Lamas,Ricardo Lamas,UFC on FOX: Johnson vs Dodson,John McCarthy,KO/TKO,0,0,14 of 44,32 of 56,31%,57%,25 of 55,40 of 65,0 of 0,2 of 8,---,25%,0,0,2,2:32,"5' 10""","5' 8""","71""","71""",Southpaw,Orthodox
TJ Grant,Matt Wiman,TJ Grant,UFC on FOX: Johnson vs Dodson,John McCarthy,KO/TKO,1,0,54 of 93,18 of 57,58%,31%,56 of 96,18 of 58,0 of 0,0 of 1,---,0%,0,0,1,4:51,"5' 10""","5' 10""","72""","68""",Orthodox,Orthodox
Clay Guida,Hatsu Hioki,Clay Guida,UFC on FOX: Johnson vs Dodson,Robert Madrigal,Decision - Split,0,0,26 of 112,41 of 99,23%,41%,40 of 136,74 of 138,3 of 6,0 of 0,50%,---,0,1,3,5:00,"5' 7""","5' 11""","70""","73""",Orthodox,Orthodox
Mike Stumpf,Pascal Krauss,Pascal Krauss,UFC on FOX: Johnson vs Dodson,Herb Dean,Decision - Unanimous,0,0,63 of 142,163 of 309,44%,52%,87 of 169,197 of 344,2 of 8,1 of 2,25%,50%,0,1,3,5:00,"5' 10""","6' 1""",--,--,,Orthodox
Ryan Bader,Vladimir Matyushenko,Ryan Bader,UFC on FOX: Johnson vs Dodson,John McCarthy,Submission,1,0,3 of 6,0 of 4,50%,0%,3 of 6,1 of 5,0 of 0,0 of 0,---,---,1,0,1,0:50,"6' 2""","6' 0""","74""","74""",Orthodox,Orthodox
Mike Russow,Shawn Jordan,Shawn Jordan,UFC on FOX: Johnson vs Dodson,Herb Dean,KO/TKO,0,0,25 of 45,42 of 72,55%,58%,29 of 51,56 of 88,1 of 6,2 of 2,16%,100%,0,0,2,3:48,"6' 1""","6' 0""","73""","75""",Orthodox,Southpaw
Rafael Natal,Sean Spencer,Rafael Natal,UFC on FOX: Johnson vs Dodson,Robert Madrigal,Submission,0,0,64 of 111,12 of 84,57%,14%,122 of 170,14 of 86,4 of 6,0 of 0,66%,---,4,0,3,2:13,"6' 0""","5' 10""","77""","74""",Orthodox,Orthodox
Simeon Thoresen,David Mitchell,David Mitchell,UFC on FOX: Johnson vs Dodson,Herb Dean,Decision - Unanimous,0,0,49 of 115,60 of 159,42%,37%,52 of 119,121 of 234,1 of 1,1 of 2,100%,50%,0,2,3,5:00,"6' 1""","6' 0""","79""","75""",Orthodox,Orthodox
Vitor Belfort,Michael Bisping,Vitor Belfort,UFC on FX: Belfort vs Bisping,Dan Miragliotta,KO/TKO,1,0,18 of 53,14 of 66,33%,21%,19 of 54,14 of 66,0 of 0,0 of 1,---,0%,0,0,2,1:27,"6' 0""","6' 1""","74""","75""",Southpaw,Orthodox
Daniel Sarafian,CB Dollaway,CB Dollaway,UFC on FX: Belfort vs Bisping,Mario Yamasaki,Decision - Split,1,0,38 of 98,62 of 152,38%,40%,41 of 102,73 of 164,0 of 6,2 of 6,0%,33%,0,0,3,5:00,"5' 9""","6' 2""","73""","76""",Orthodox,Orthodox
Gabriel Gonzaga,Ben Rothwell,Gabriel Gonzaga,UFC on FX: Belfort vs Bisping,Marc Goddard,Submission,0,0,17 of 28,12 of 27,60%,44%,20 of 31,15 of 32,3 of 8,0 of 0,37%,---,1,0,2,1:01,"6' 2""","6' 4""","76""","78""",Orthodox,Orthodox
Thiago Tavares,Khabib Nurmagomedov,Khabib Nurmagomedov,UFC on FX: Belfort vs Bisping,Dan Miragliotta,KO/TKO,0,1,2 of 10,22 of 31,20%,70%,2 of 10,22 of 31,0 of 0,0 of 0,---,---,0,0,1,1:55,"5' 7""","5' 10""","70""","70""",Orthodox,Orthodox
Godofredo Pepey,Milton Vieira,Godofredo Pepey,UFC on FX: Belfort vs Bisping,Mario Yamasaki,Decision - Split,0,0,36 of 76,17 of 34,47%,50%,104 of 153,58 of 84,0 of 1,5 of 6,0%,83%,0,0,3,5:00,"5' 7""","6' 0""","73""",--,Orthodox,Orthodox
Ronny Markes,Andrew Craig,Ronny Markes,UFC on FX: Belfort vs Bisping,Marc Goddard,Decision - Unanimous,0,0,5 of 9,20 of 29,55%,68%,28 of 32,90 of 106,2 of 12,0 of 1,16%,0%,2,0,3,5:00,"6' 1""","6' 1""","75""","76""",Orthodox,Orthodox
Diego Nunes,Nik Lentz,Nik Lentz,UFC on FX: Belfort vs Bisping,Dan Miragliotta,Decision - Unanimous,0,0,18 of 32,56 of 74,56%,75%,19 of 33,205 of 234,0 of 0,10 of 21,---,47%,0,0,3,5:00,"5' 6""","5' 8""","67""","68""",Orthodox,Orthodox
Edson Barboza,Lucas Martins,Edson Barboza,UFC on FX: Belfort vs Bisping,Mario Yamasaki,KO/TKO,1,0,26 of 45,12 of 31,57%,38%,29 of 49,12 of 31,0 of 0,0 of 0,---,---,0,0,1,2:38,"5' 11""","6' 0""","75""","72""",Orthodox,Southpaw
Iuri Alcantara,Pedro Nobre,,UFC on FX: Belfort vs Bisping,Dan Miragliotta,Could Not Continue,0,0,20 of 31,3 of 10,64%,30%,26 of 38,3 of 10,1 of 1,0 of 1,100%,0%,1,0,1,2:11,"5' 9""","5' 5""","71""",--,Southpaw,
Wagner Prado,Ildemar Alcantara,Ildemar Alcantara,UFC on FX: Belfort vs Bisping,Mario Yamasaki,Submission,0,0,28 of 53,24 of 55,52%,43%,41 of 70,39 of 70,0 of 1,2 of 3,0%,66%,0,3,2,2:39,"6' 0""","6' 2""","74""","78""",Southpaw,Orthodox
Francisco Trinaldo,CJ Keith,Francisco Trinaldo,UFC on FX: Belfort vs Bisping,Marc Goddard,Submission,0,0,12 of 19,3 of 9,63%,33%,27 of 34,5 of 11,2 of 5,0 of 1,40%,0%,1,0,2,1:50,"5' 9""","6' 0""","70""",--,Southpaw,Orthodox
Junior Dos Santos,Cain Velasquez,Cain Velasquez,UFC 155: Dos Santos vs Velasquez II,Herb Dean,Decision - Unanimous,0,1,57 of 137,111 of 224,41%,49%,66 of 146,210 of 339,0 of 1,11 of 33,0%,33%,0,0,5,5:00,"6' 4""","6' 1""","77""","77""",Orthodox,Orthodox
Jim Miller,Joe Lauzon,Jim Miller,UFC 155: Dos Santos vs Velasquez II,Yves Lavigne,Decision - Unanimous,0,0,91 of 204,35 of 123,44%,28%,96 of 210,40 of 128,1 of 1,0 of 1,100%,0%,2,3,3,5:00,"5' 8""","5' 10""","71""","71""",Southpaw,Orthodox
Tim Boetsch,Constantinos Philippou,Constantinos Philippou,UFC 155: Dos Santos vs Velasquez II,Kim Winslow,KO/TKO,1,0,25 of 53,28 of 74,47%,37%,41 of 74,56 of 108,2 of 8,0 of 0,25%,---,0,0,3,2:11,"6' 0""","5' 11""","74""","73""",Orthodox,Orthodox
Yushin Okami,Alan Belcher,Yushin Okami,UFC 155: Dos Santos vs Velasquez II,Chris Tognoni,Decision - Unanimous,0,0,20 of 44,6 of 28,45%,21%,81 of 115,15 of 39,1 of 5,0 of 0,20%,---,0,2,3,5:00,"6' 2""","6' 2""","75""","75""",Southpaw,Orthodox
Chris Leben,Derek Brunson,Derek Brunson,UFC 155: Dos Santos vs Velasquez II,Herb Dean,Decision - Unanimous,0,0,40 of 94,41 of 130,42%,31%,103 of 164,76 of 174,0 of 0,4 of 13,---,30%,0,1,3,5:00,"5' 11""","6' 1""","73""","77""",Southpaw,Southpaw
Brad Pickett,Eddie Wineland,Eddie Wineland,UFC 155: Dos Santos vs Velasquez II,Yves Lavigne,Decision - Split,0,1,67 of 212,90 of 294,31%,30%,67 of 212,90 of 294,0 of 0,0 of 2,---,0%,0,0,3,5:00,"5' 6""","5' 7""","68""","69""",Orthodox,Orthodox
Erik Perez,Byron Bloodworth,Erik Perez,UFC 155: Dos Santos vs Velasquez II,Kim Winslow,KO/TKO,1,0,40 of 58,8 of 11,68%,72%,49 of 72,9 of 12,0 of 0,0 of 0,---,---,0,0,1,3:50,"5' 8""","5' 8""","68""",--,Orthodox,Orthodox
Melvin Guillard,Jamie Varner,Jamie Varner,UFC 155: Dos Santos vs Velasquez II,Chris Tognoni,Decision - Split,0,0,57 of 112,32 of 97,50%,32%,62 of 117,66 of 148,0 of 1,7 of 10,0%,70%,1,1,3,5:00,"5' 9""","5' 8""","71""","71""",Orthodox,Orthodox
Michael Johnson,Myles Jury,Myles Jury,UFC 155: Dos Santos vs Velasquez II,Herb Dean,Decision - Unanimous,0,0,6 of 41,56 of 121,14%,46%,10 of 45,125 of 209,0 of 0,3 of 6,---,50%,0,1,3,5:00,"5' 10""","5' 10""","73""","73""",Southpaw,Orthodox
Philip De Fries,Todd Duffee,Todd Duffee,UFC 155: Dos Santos vs Velasquez II,Yves Lavigne,KO/TKO,0,1,7 of 13,20 of 31,53%,64%,12 of 18,22 of 33,1 of 1,0 of 0,100%,---,0,0,1,2:04,"6' 5""","6' 3""","79""","78""",Orthodox,Orthodox
Leonard Garcia,Max Holloway,Max Holloway,UFC 155: Dos Santos vs Velasquez II,Kim Winslow,Decision - Split,0,1,89 of 359,120 of 269,24%,44%,92 of 367,122 of 273,2 of 4,0 of 0,50%,---,0,0,3,5:00,"5' 10""","5' 11""","68""","69""",Orthodox,Orthodox
Chris Cariaso,John Moraga,John Moraga,UFC 155: Dos Santos vs Velasquez II,Chris Tognoni,Submission,0,0,39 of 122,26 of 74,31%,35%,41 of 124,31 of 79,1 of 2,2 of 2,50%,100%,0,1,3,1:11,"5' 3""","5' 6""","64""","66""",Southpaw,Orthodox
Roy Nelson,Matt Mitrione,Roy Nelson,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Herb Dean,KO/TKO,1,0,23 of 53,13 of 28,43%,46%,23 of 53,13 of 28,0 of 1,0 of 0,0%,---,0,0,1,2:58,"6' 0""","6' 3""","73""","82""",Orthodox,Switch
Colton Smith,Mike Ricci,Colton Smith,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Steve Mazzagatti,Decision - Unanimous,0,0,15 of 18,9 of 15,83%,60%,88 of 113,10 of 17,7 of 16,0 of 0,43%,---,1,0,3,5:00,"6' 0""","6' 0""","71""","76""",Orthodox,Southpaw
Pat Barry,Shane del Rosario,Pat Barry,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Kim Winslow,KO/TKO,1,0,11 of 15,14 of 25,73%,56%,11 of 15,33 of 44,0 of 0,1 of 4,---,25%,0,2,2,0:26,"5' 11""","6' 4""","74""",--,Orthodox,Southpaw
Dustin Poirier,Jonathan Brookins,Dustin Poirier,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Herb Dean,Submission,0,0,35 of 73,26 of 54,47%,48%,38 of 76,26 of 54,0 of 2,0 of 2,0%,0%,1,0,1,4:15,"5' 9""","6' 0""","72""","74""",Southpaw,Southpaw
Mike Pyle,James Head,Mike Pyle,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Steve Mazzagatti,KO/TKO,1,0,9 of 17,13 of 25,52%,52%,9 of 17,15 of 27,0 of 0,0 of 0,---,---,0,0,1,1:55,"6' 0""","6' 1""","74""","73""",Orthodox,Orthodox
Johnny Bedford,Marcos Vinicius,Johnny Bedford,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Kim Winslow,KO/TKO,2,0,34 of 60,4 of 15,56%,26%,45 of 72,5 of 16,1 of 1,0 of 0,100%,---,0,1,2,1:00,"5' 10""","5' 9""","71""",--,Orthodox,Orthodox
Vinc Pichel,Rustam Khabilov,Rustam Khabilov,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Chris Tognoni,KO/TKO,0,0,0 of 4,13 of 19,0%,68%,1 of 5,19 of 25,0 of 0,5 of 6,---,83%,0,0,1,2:15,"5' 10""","5' 8""","72""","73""",Orthodox,Orthodox
TJ Waldburger,Nick Catone,TJ Waldburger,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Herb Dean,Submission,1,0,13 of 17,10 of 16,76%,62%,14 of 18,14 of 20,1 of 5,1 of 2,20%,50%,4,0,2,1:04,"5' 11""","6' 0""","75""","72""",Orthodox,Southpaw
Reuben Duran,Hugo Viana,Hugo Viana,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Steve Mazzagatti,KO/TKO,0,3,8 of 30,22 of 39,26%,56%,8 of 30,26 of 43,0 of 0,0 of 0,---,---,0,0,1,4:05,"5' 7""","5' 6""","71""","67""",Orthodox,Orthodox
Mike Rio,John Cofer,Mike Rio,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Kim Winslow,Submission,0,0,30 of 67,31 of 59,44%,52%,67 of 111,57 of 87,4 of 11,0 of 0,36%,---,1,0,3,4:11,"5' 10""","5' 9""","70""",--,Orthodox,Southpaw
Jared Papazian,Tim Elliott,Tim Elliott,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Chris Tognoni,Decision - Unanimous,0,1,36 of 97,36 of 69,37%,52%,46 of 109,189 of 256,0 of 1,7 of 14,0%,50%,0,4,3,5:00,"5' 8""","5' 7""","67""","66""",Southpaw,Southpaw
George Sotiropoulos,Ross Pearson,Ross Pearson,UFC on FX: Sotiropoulos vs Pearson,Marc Goddard,KO/TKO,0,2,34 of 113,50 of 100,30%,50%,35 of 114,53 of 103,1 of 6,0 of 1,16%,0%,0,0,3,0:41,"5' 10""","5' 8""","71""","69""",Orthodox,Orthodox
Robert Whittaker,Brad Scott,Robert Whittaker,UFC on FX: Sotiropoulos vs Pearson,Steve Perceval,Decision - Unanimous,1,0,83 of 202,55 of 171,41%,32%,89 of 208,82 of 205,0 of 0,1 of 5,---,20%,0,0,3,5:00,"6' 0""","6' 1""","73""","76""",Orthodox,Orthodox
Colin Fletcher,Norman Parke,Norman Parke,UFC on FX: Sotiropoulos vs Pearson,John Sharp,Decision - Unanimous,0,0,56 of 141,42 of 98,39%,42%,66 of 154,48 of 105,0 of 0,6 of 9,---,66%,0,0,3,5:00,"6' 2""","5' 11""",--,"70""",Orthodox,Southpaw
Hector Lombard,Rousimar Palhares,Hector Lombard,UFC on FX: Sotiropoulos vs Pearson,Marc Goddard,KO/TKO,2,0,24 of 46,6 of 13,52%,46%,26 of 48,6 of 13,0 of 0,0 of 0,---,---,0,0,1,3:38,"5' 9""","5' 8""","71""","71""",Southpaw,Orthodox
Chad Mendes,Yaotzin Meza,Chad Mendes,UFC on FX: Sotiropoulos vs Pearson,Steve Perceval,KO/TKO,1,0,10 of 13,2 of 15,76%,13%,11 of 14,2 of 15,0 of 0,0 of 0,---,---,0,0,1,1:55,"5' 6""","5' 9""","66""","71""",Orthodox,Orthodox
Igor Pokrajac,Joey Beltran,,UFC on FX: Sotiropoulos vs Pearson,John Sharp,Overturned,0,0,48 of 94,65 of 139,51%,46%,63 of 111,206 of 299,0 of 2,0 of 3,0%,0%,0,0,3,5:00,"6' 0""","6' 1""","74""","75""",Orthodox,Orthodox
Mike Pierce,Seth Baczynski,Mike Pierce,UFC on FX: Sotiropoulos vs Pearson,Marc Goddard,Decision - Unanimous,0,0,16 of 48,34 of 106,33%,32%,51 of 93,94 of 185,6 of 12,0 of 0,50%,---,0,0,3,5:00,"5' 8""","6' 3""","71""","75""",Orthodox,Orthodox
Ben Alloway,Manuel Rodriguez,Ben Alloway,UFC on FX: Sotiropoulos vs Pearson,Steve Perceval,KO/TKO,1,0,16 of 26,4 of 12,61%,33%,18 of 28,17 of 25,0 of 0,3 of 4,---,75%,0,0,1,4:57,"5' 11""","5' 9""","76""",--,Orthodox,Orthodox
Brendan Loughnane,Mike Wilkinson,Mike Wilkinson,UFC on FX: Sotiropoulos vs Pearson,John Sharp,Decision - Unanimous,1,0,75 of 119,54 of 159,63%,33%,96 of 142,119 of 240,0 of 2,1 of 12,0%,8%,0,0,3,5:00,"5' 10""","5' 7""","70""","66""",Switch,Orthodox
Nick Penner,Cody Donovan,Cody Donovan,UFC on FX: Sotiropoulos vs Pearson,Marc Goddard,KO/TKO,1,1,7 of 18,19 of 27,38%,70%,23 of 37,31 of 44,0 of 0,1 of 1,---,100%,0,0,1,4:35,"6' 4""","6' 3""",--,"74""",Southpaw,Orthodox
Benson Henderson,Nate Diaz,Benson Henderson,UFC on FOX: Henderson vs Diaz,Herb Dean,Decision - Unanimous,1,0,124 of 198,30 of 83,62%,36%,183 of 259,95 of 160,8 of 12,0 of 6,66%,0%,0,2,5,5:00,"5' 9""","6' 0""","70""","76""",Southpaw,Southpaw
Mauricio Rua,Alexander Gustafsson,Alexander Gustafsson,UFC on FOX: Henderson vs Diaz,Dan Miragliotta,Decision - Unanimous,0,0,41 of 95,72 of 156,43%,46%,51 of 105,128 of 215,1 of 3,6 of 12,33%,50%,1,0,3,5:00,"6' 1""","6' 5""","76""","79""",Orthodox,Orthodox
BJ Penn,Rory MacDonald,Rory MacDonald,UFC on FOX: Henderson vs Diaz,Herb Dean,Decision - Unanimous,0,0,24 of 89,116 of 203,26%,57%,53 of 119,125 of 212,0 of 2,1 of 3,0%,33%,0,0,3,5:00,"5' 9""","6' 0""","70""","76""",Orthodox,Orthodox
Mike Swick,Matt Brown,Matt Brown,UFC on FOX: Henderson vs Diaz,Dan Miragliotta,KO/TKO,0,1,9 of 29,25 of 39,31%,64%,19 of 42,37 of 52,0 of 2,1 of 1,0%,100%,0,2,2,2:31,"6' 1""","6' 0""","77""","75""",Orthodox,Orthodox
Yves Edwards,Jeremy Stephens,Yves Edwards,UFC on FOX: Henderson vs Diaz,Steve Newport,KO/TKO,1,0,8 of 21,5 of 21,38%,23%,12 of 26,6 of 22,0 of 1,0 of 1,0%,0%,0,0,1,1:55,"5' 9""","5' 9""","73""","71""",Southpaw,Orthodox
Raphael Assuncao,Mike Easton,Raphael Assuncao,UFC on FOX: Henderson vs Diaz,Steve Newport,Decision - Unanimous,0,0,57 of 156,30 of 155,36%,19%,60 of 159,34 of 159,0 of 6,0 of 3,0%,0%,0,0,3,5:00,"5' 5""","5' 6""","66""","70""",Orthodox,Southpaw
Ramsey Nijem,Joe Proctor,Ramsey Nijem,UFC on FOX: Henderson vs Diaz,Dan Miragliotta,Decision - Unanimous,1,0,49 of 117,21 of 68,41%,30%,117 of 204,36 of 84,5 of 10,0 of 0,50%,---,0,4,3,5:00,"5' 11""","5' 10""","75""","72""",Orthodox,Orthodox
Daron Cruickshank,Henry Martinez,Daron Cruickshank,UFC on FOX: Henderson vs Diaz,Anthony Hamlett,KO/TKO,1,0,52 of 91,21 of 102,57%,20%,55 of 95,29 of 123,0 of 0,0 of 2,---,0%,0,0,2,2:57,"5' 8""","5' 7""","72""","69""",Switch,Southpaw
Marcus LeVesseur,Abel Trujillo,Abel Trujillo,UFC on FOX: Henderson vs Diaz,Anthony Hamlett,KO/TKO,0,1,9 of 16,57 of 75,56%,76%,11 of 19,94 of 117,2 of 10,1 of 1,20%,100%,0,2,2,3:56,"5' 9""","5' 8""","70""","70""",Southpaw,Orthodox
Dennis Siver,Nam Phan,Dennis Siver,UFC on FOX: Henderson vs Diaz,Anthony Hamlett,Decision - Unanimous,0,0,128 of 273,24 of 120,46%,20%,222 of 389,24 of 120,2 of 4,0 of 0,50%,---,0,0,3,5:00,"5' 6""","5' 6""","70""","70""",Orthodox,Orthodox
Scott Jorgensen,John Albert,Scott Jorgensen,UFC on FOX: Henderson vs Diaz,Herb Dean,Submission,0,0,12 of 18,5 of 10,66%,50%,16 of 22,10 of 15,0 of 1,0 of 0,0%,---,1,1,1,4:59,"5' 5""","5' 8""","66""","68""",Orthodox,Orthodox
Georges St-Pierre,Carlos Condit,Georges St-Pierre,UFC 154: St-Pierre vs Condit,Yves Lavigne,Decision - Unanimous,0,1,71 of 132,36 of 148,53%,24%,172 of 237,190 of 323,7 of 8,0 of 0,87%,---,0,0,5,5:00,"5' 11""","6' 2""","76""","75""",Orthodox,Orthodox
Johny Hendricks,Martin Kampmann,Johny Hendricks,UFC 154: St-Pierre vs Condit,Dan Miragliotta,KO/TKO,1,0,3 of 7,0 of 4,42%,0%,3 of 7,0 of 4,0 of 0,0 of 0,---,---,0,0,1,0:46,"5' 9""","6' 0""","69""","72""",Southpaw,Orthodox
Francis Carmont,Tom Lawlor,Francis Carmont,UFC 154: St-Pierre vs Condit,Philippe Chartier,Decision - Split,0,0,34 of 84,20 of 75,40%,26%,44 of 94,31 of 89,0 of 2,2 of 8,0%,25%,1,2,3,5:00,"6' 3""","6' 0""","78""","74""",Orthodox,Southpaw
Mark Bocek,Rafael Dos Anjos,Rafael Dos Anjos,UFC 154: St-Pierre vs Condit,Yves Lavigne,Decision - Unanimous,0,0,19 of 59,54 of 134,32%,40%,33 of 73,90 of 172,0 of 11,4 of 5,0%,80%,1,0,3,5:00,"5' 8""","5' 8""","75""","70""",Orthodox,Southpaw
Mark Hominick,Pablo Garza,Pablo Garza,UFC 154: St-Pierre vs Condit,Marc-Andre Cote,Decision - Unanimous,1,0,39 of 66,83 of 197,59%,42%,78 of 109,149 of 275,1 of 1,2 of 5,100%,40%,0,1,3,5:00,"5' 8""","6' 1""","68""","73""",Orthodox,Orthodox
Patrick Cote,Alessio Sakara,Patrick Cote,UFC 154: St-Pierre vs Condit,Dan Miragliotta,DQ,0,1,14 of 33,24 of 34,42%,70%,14 of 33,24 of 34,0 of 0,0 of 0,---,---,0,0,1,1:26,"5' 11""","6' 0""","75""","72""",Orthodox,Orthodox
Cyrille Diabate,Chad Griggs,Cyrille Diabate,UFC 154: St-Pierre vs Condit,Philippe Chartier,Submission,1,0,6 of 7,2 of 3,85%,66%,9 of 10,4 of 6,2 of 2,1 of 2,100%,50%,1,0,1,2:24,"6' 6""","6' 1""","81""","73""",Southpaw,Orthodox
Sam Stout,John Makdessi,John Makdessi,UFC 154: St-Pierre vs Condit,Marc-Andre Cote,Decision - Unanimous,0,0,63 of 369,84 of 157,17%,53%,63 of 369,84 of 157,0 of 5,0 of 0,0%,---,0,0,3,5:00,"5' 9""","5' 8""","70""","68""",Orthodox,Orthodox
Antonio Carvalho,Rodrigo Damm,Antonio Carvalho,UFC 154: St-Pierre vs Condit,Dan Miragliotta,Decision - Split,0,0,48 of 150,50 of 158,32%,31%,48 of 150,50 of 158,0 of 0,0 of 0,---,---,0,0,3,5:00,"5' 9""","5' 7""","70""","71""",Orthodox,Orthodox
Matthew Riddle,John Maguire,Matthew Riddle,UFC 154: St-Pierre vs Condit,Yves Lavigne,Decision - Unanimous,0,0,45 of 163,37 of 109,27%,33%,74 of 195,38 of 110,1 of 4,0 of 6,25%,0%,0,2,3,5:00,"6' 1""","5' 9""","76""","69""",Southpaw,Southpaw
Ivan Menjivar,Azamat Gashimov,Ivan Menjivar,UFC 154: St-Pierre vs Condit,Philippe Chartier,Submission,0,0,6 of 10,4 of 13,60%,30%,25 of 32,18 of 28,0 of 0,1 of 1,---,100%,1,0,1,2:44,"5' 6""","5' 6""","64""",--,Orthodox,Orthodox
Steven Siler,Darren Elkins,Darren Elkins,UFC 154: St-Pierre vs Condit,Marc-Andre Cote,Decision - Unanimous,0,0,15 of 48,44 of 91,31%,48%,61 of 96,103 of 159,0 of 0,6 of 7,---,85%,1,6,3,5:00,"5' 11""","5' 10""","70""","71""",Orthodox,Orthodox
Rich Franklin,Cung Le,Cung Le,UFC Macao: Franklin vs Le,Marc Goddard,KO/TKO,0,1,12 of 21,8 of 16,57%,50%,12 of 21,8 of 16,0 of 0,0 of 0,---,---,0,0,1,2:17,"6' 1""","5' 9""","76""","70""",Southpaw,Southpaw
Thiago Silva,Stanislav Nedkov,,UFC Macao: Franklin vs Le,Steve Perceval,Overturned,0,1,62 of 95,18 of 70,65%,25%,112 of 154,24 of 79,1 of 1,0 of 4,100%,0%,1,0,3,1:45,"6' 2""","5' 11""","74""","71""",Orthodox,Orthodox
Dong Hyun Kim,Paulo Thiago,Dong Hyun Kim,UFC Macao: Franklin vs Le,Marc Goddard,Decision - Unanimous,0,0,22 of 40,2 of 10,55%,20%,76 of 104,4 of 12,3 of 6,0 of 0,50%,---,2,0,3,5:00,"6' 2""","5' 11""","76""","74""",Southpaw,Orthodox
