name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Daniel Spitz,Daddy Long Legs,6.0,3.0,0,34.0,8,0.0,0.35,0.74,0.66,0.0,79,82,0.0,2.6,10.1,5.3,0.46,0.0
Serghei Spivac,Polar Bear,17.0,4.0,0,29.0,38,0.0,0.49,4.63,0.65,0.7,75,78,0.0,3.51,7.55,3.72,0.5,0.7
Daniel Spohn,Dragon,15.0,6.0,0,40.0,8,0.0,0.49,0.0,0.0,2.5,76,79,1.0,2.42,9.083333333333334,1.6,0.53,0.28
Austin Springer,742,12.0,4.0,0,37.0,8,0.0,0.57,3.37,0.4,0.8,68,71,0.0,3.54,8.9,3.15,0.41,1.0
Georges StPierre,Rush,26.0,2.0,0,43.0,60,0.37,0.53,4.16,0.74,1.1,71,76,0.0,3.78,13.15,1.4,0.72,0.83
Ron Stallings,The Choir Boy,14.0,8.0,0,41.0,8,0.0,0.6,0.0,0.0,0.0,74,75,1.0,3.22,10.266666666666667,3.26,0.51,0.71
Cody Stamann,The Spartan,21.0,7.0,1,34.0,8,0.17,0.47,2.22,0.37,0.0,66,64,0.0,4.35,12.533333333333333,3.89,0.6,0.76
Brian Stann,All American,12.0,6.0,0,44.0,8,1.04,0.42,0.12,0.12,0.3,73,74,0.0,3.28,7.65,2.65,0.59,0.6
Clifford Starks,743,13.0,3.0,0,43.0,8,0.0,0.33,1.94,1.0,0.0,72,78,0.0,1.94,7.75,2.49,0.58,0.6
Kalib Starnes,744,17.0,11.0,1,49.0,60,0.0,0.48,1.46,0.33,0.6,75,74,0.0,2.71,10.25,4.43,0.53,0.25
Laureano Staropoli,Pepi,9.0,5.0,0,31.0,66,0.0,0.34,0.83,0.26,0.0,73,71,0.0,3.31,15.0,3.73,0.54,0.48
Damian Stasiak,Webster,10.0,6.0,0,34.0,1,0.0,0.36,2.64,0.35,0.6,65,70,0.0,1.86,12.316666666666666,3.1,0.52,0.43
Dominique Steele,NonStop ActionPacked,14.0,9.0,0,36.0,8,0.63,0.49,2.95,0.42,0.0,70,74,0.0,2.32,11.866666666666667,2.42,0.5,0.76
Ricky Steele,The Karate Kid,6.0,0.0,0,36.0,8,0.0,0.7,0.0,0.0,0.0,69,74,0.0,4.07,15.0,2.93,0.5,0.91
Kody Steele,745,7.0,0.0,0,29.0,8,1.65,0.4,0.0,0.0,0.0,69,71,0.0,5.27,9.116666666666667,5.27,0.6,1.0
Steve Steinbeiss,The Hooligan,9.0,4.0,0,43.0,8,0.0,0.55,0.44,0.5,0.0,75,75,0.0,3.92,11.316666666666666,1.86,0.49,0.58
Aljamain Sterling,Funk Master,24.0,4.0,0,35.0,8,0.0,0.52,2.31,0.27,0.7,67,71,0.0,4.61,13.283333333333333,2.3,0.58,0.45
Joe Stevenson,Daddy,33.0,16.0,0,42.0,8,0.08,0.44,2.75,0.44,2.2,67,70,0.0,2.05,9.55,2.44,0.6,0.39
Maia Stevenson,746,6.0,5.0,0,42.0,8,0.0,0.54,3.91,1.0,0.0,64,62,0.0,1.57,3.8333333333333335,3.13,0.33,0.5
Darren Stewart,The Dentist,12.0,8.0,0,33.0,96,0.23,0.45,1.75,0.45,0.1,72,74,0.0,3.05,9.166666666666666,3.29,0.48,0.67
Kyle Stewart,Gunz Up,11.0,3.0,0,35.0,8,0.0,0.35,1.32,0.2,0.0,72,76,0.0,1.41,7.583333333333333,2.42,0.43,0.6
Navajo Stirling,747,5.0,0.0,0,26.0,97,2.04,0.68,0.0,0.0,0.0,76,79,0.0,7.07,7.35,3.4,0.48,1.0
Lazar Stojadinovic,The Bronx Bomber,12.0,5.0,0,35.0,8,0.0,0.29,0.0,0.0,0.0,67,68,1.0,1.82,6.583333333333333,1.97,0.59,0.0
Julija Stoliarenko,748,11.0,9.0,2,31.0,91,0.0,0.39,0.93,0.27,1.7,67,66,0.0,2.49,10.133333333333333,4.54,0.46,0.54
Dustin Stoltzfus,749,15.0,6.0,0,32.0,8,0.2,0.44,2.45,0.41,1.0,72,75,0.0,3.51,9.2,3.4,0.47,0.46
Niklas Stolze,Green Mask,12.0,6.0,0,31.0,37,0.0,0.48,0.66,1.0,0.7,73,74,3.0,2.12,7.55,2.25,0.49,0.55
Ken Stone,750,11.0,4.0,0,42.0,8,0.0,0.49,1.24,0.33,0.6,68,71,1.0,3.85,4.833333333333333,2.9,0.48,0.6
Rick Story,The Horror,19.0,9.0,0,40.0,8,0.38,0.41,2.53,0.48,0.9,69,71,1.0,3.8,12.483333333333333,2.17,0.62,0.63
Darko Stosic,751,13.0,4.0,0,32.0,18,0.0,0.45,3.42,0.5,0.0,72,76,0.0,2.61,12.05,4.04,0.58,0.83
Sam Stout,Hands of Stone,20.0,12.0,1,40.0,8,0.19,0.28,0.63,0.38,0.1,69,70,0.0,4.17,11.916666666666666,4.08,0.57,0.77
Jesse Strader,Sui Generis,5.0,3.0,0,33.0,8,0.0,0.51,3.87,0.57,0.0,67,70,0.0,5.03,7.766666666666667,5.28,0.47,1.0
Sean Strickland,753,29.0,6.0,0,33.0,8,0.26,0.42,0.78,0.64,0.2,73,76,0.0,6.01,15.65,4.48,0.61,0.77
Mark Striegl,Mugen,18.0,4.0,0,36.0,11,0.0,0.45,0.0,0.0,0.0,68,70,1.0,1.4,3.9333333333333336,4.07,0.4,0.66
Stefan Struve,Skyscraper,33.0,13.0,0,36.0,16,0.24,0.47,0.56,0.46,1.7,83,84,0.0,3.12,7.816666666666666,4.04,0.46,0.55
Tatiana Suarez,757,11.0,0.0,0,33.0,8,0.0,0.63,6.2,0.61,0.9,65,66,1.0,4.27,9.333333333333334,1.38,0.51,1.0
George Sullivan,The Silencer,17.0,7.0,0,43.0,8,0.0,0.39,1.37,0.2,0.7,72,73,0.0,3.53,9.383333333333333,2.42,0.57,0.38
Justin Sumter,The Fort,7.0,3.0,0,34.0,8,0.0,0.48,2.87,1.0,0.0,74,80,1.0,2.68,2.6166666666666667,7.64,0.34,0.0
Sumudaerji,The Tibetan Eagle,16.0,6.0,0,28.0,59,0.59,0.54,0.29,1.0,0.6,68,72,1.0,4.64,8.55,2.73,0.61,0.66
Rama Supandhi,Hellboy,8.0,4.0,0,32.0,8,0.0,0.42,1.0,0.11,0.0,65,66,1.0,2.2,15.0,3.53,0.48,0.0
Daniel Swain,761,20.0,10.0,1,33.0,8,0.0,0.44,0.0,0.0,6.0,69,70,0.0,0.8,5.0,3.2,0.4,0.0
Cub Swanson,762,29.0,14.0,0,40.0,8,0.36,0.5,1.04,0.5,0.4,68,70,0.0,4.67,11.683333333333334,3.86,0.59,0.63
Mike Swick,Quick,15.0,6.0,0,45.0,8,0.53,0.37,1.06,0.5,0.6,73,77,0.0,2.36,8.7,2.29,0.54,0.61
Oumar Sy,764,11.0,0.0,0,28.0,10,0.0,0.59,3.21,0.4,0.8,76,83,0.0,4.81,9.366666666666667,1.71,0.73,1.0
Kevin Syler,El Nino Bala,10.0,1.0,0,31.0,97,0.0,0.69,1.0,0.4,2.0,69,71,3.0,5.6,15.0,4.03,0.48,0.77
Tim Sylvia,The Maineiac,31.0,10.0,0,48.0,8,0.54,0.41,0.11,1.0,0.1,80,80,0.0,4.23,9.866666666666667,2.61,0.61,0.75
