name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
JJ Aldrich,11,13,6,0,31,49,0,0.46,0.71,0.25,0,65,67,1,4.05,13.6,4.53,0.6,0.66
JJ Okanovich,The Bosnian Bomber,7,1,0,33,49,0,0.55,0,0,0,71,76,0,6.93,15,5.27,0.5,1
JP Buys,Young Savage,9,6,0,27,48,0,0.39,1.55,0.25,2.3,65,67,0,1.88,6.466666667,3.02,0.4,0.25
Jack Cartwright,119,10,1,0,29,81,0,0.38,6,0.66,2,69,68,0,0.8,15,3.33,0.29,0
Jack Hermansson,The Joker,23,8,0,35,45,0,0.44,1.66,0.29,0.4,73,77,0,5.13,10.7,3.69,0.55,0.75
Jack Jenkins,Phar,12,3,0,30,34,0,0.61,2.56,0.69,0,67,68,3,4.43,13.2,3.07,0.59,0.75
Jack Marshman,The Hammer,23,10,0,34,81,0.55,0.25,0,0,0,72,73,0,2.74,10.21666667,4.19,0.56,0.2
Jack Shore,Tank,17,1,0,28,81,0.36,0.58,3.42,0.4,0.7,68,71,0,3.84,11.9,2.2,0.57,0.79
Jacob Kilburn,The Killer,8,4,0,28,49,0,0.33,0.51,0.05,0.5,69,72,0,2.56,9.783333333,6.78,0.35,0.2
Jacob Malkoun,Mamba,7,3,0,28,34,0,0.56,7.2,0.44,0.5,69,73,0,3.89,10.76666667,2.49,0.5,0
Jacob Rosales,The Lil Badger,13,7,0,28,49,0.56,0.46,1.12,0.18,0.6,71,74,0,7.19,13.41666667,10.66,0.44,0.5
Jacob Silva,Lil Animal,6,4,0,35,49,0,0.44,1.51,1,0,65,67,0,4.17,9.95,4.92,0.56,0.66
Jacob Volkmann,Christmas,19,7,0,43,49,0,0.34,3.19,0.48,2,69,71,1,1.19,11.3,1.78,0.52,0.52
Jacqueline Cavalcanti,121,6,1,0,26,18,0,0.57,0,0,0,68,70,0,8.4,15,2.6,0.84,1
Jafel Filho,Pastor,15,3,0,30,18,0.51,0.37,1.53,0.27,2,67,68,0,2,9.833333333,2.31,0.45,0.55
Jai Herbert,Black Country Banger,12,5,1,35,81,0.6,0.41,0.2,0.1,0,73,77,0,2.69,10.71666667,3.15,0.45,0.57
Jailton Almeida,Malhadinho,20,2,0,32,18,0,0.64,5.14,0.55,2.4,75,79,0,2.78,7.916666667,0.52,0.43,0.75
Jaime Alvarez,22,6,1,0,35,49,0,0.4,1,0.33,0,68,69,0,2.73,15,4.53,0.56,0.5
Jairzinho Rozenstruik,Bigi Boy,13,5,0,35,40,1.14,0.45,0,0,0,74,78,0,2.81,7.65,3.15,0.45,0.73
Jake Collier,The Prototype,13,10,0,35,49,0.3,0.44,0.71,0.33,0.6,75,78,0,5.8,10.6,5.08,0.5,0.67
Jake Ellenberger,The Juggernaut,31,15,0,38,49,0.98,0.39,2.04,0.47,0.4,69,71,0,2.47,8.05,2.83,0.6,0.86
Jake Hadley,White Kong,10,2,0,27,81,0.32,0.44,0.32,0.25,2.2,67,70,1,3.42,9.366666667,3.2,0.6,0.35
Jake Hecht,Hitman,11,4,0,39,49,0,0.47,2.04,0.37,0,72,73,0,3.26,7.366666667,2.76,0.56,0.4
Jake Matthews,The Celtic Kid,19,7,0,29,34,0.35,0.45,1.59,0.4,0.6,71,73,0,3.3,11.38333333,2.56,0.6,0.62
Jake OBrien,Irish,15,4,0,39,49,0.21,0.31,6.39,0.54,0.2,75,76,0,1.31,9.983333333,1.92,0.69,0.25
Jake Shields,646,31,9,1,45,49,0,0.36,2.83,0.29,1.2,72,72,0,2.45,15.73333333,1.8,0.56,0.35
Jalin Turner,The Tarantula,14,7,0,28,49,1.23,0.48,0.88,0.55,1.2,75,77,1,6.02,7.116666667,4.63,0.41,0.75
Jamahal Hill,Sweet Dreams,12,1,0,32,49,0.72,0.54,0,0,0,76,79,1,7.31,9.233333333,3.35,0.47,0.73
Jamal Pogues,545,10,4,0,28,49,0,0.42,3,0.48,0,75,77,0,3.12,15,4.25,0.52,0.66
Jamall Emmers,Pretty Boy,20,7,0,34,49,0.44,0.48,1.96,0.4,0.2,70,74,0,5.1,9.833333333,3.79,0.57,0.9
Jamelle Jones,The Beast,7,5,0,36,49,0,0.8,0,0,0,72,75,0,1.78,2.25,3.11,0.65,0
James Barnes,Mooka,14,5,0,41,49,0,0.34,1.08,0.16,0,68,71,0,0.57,7.816666667,3.02,0.39,0.4
James Bochnovic,79,8,3,0,34,49,0,0.26,0,0,0,76,81,0,0.65,6.183333333,3.64,0.21,0
James Head,304,9,4,0,39,49,0.41,0.48,0.41,1,0.8,73,73,0,2.75,7.333333333,3.11,0.49,0.66
James Irvin,The Sandman,17,10,0,45,49,1.56,0.48,0,0,0.5,74,75,0,2.03,2.883333333,3.86,0.35,0.36
James Krause,The,28,9,0,37,49,0.26,0.49,0.96,0.18,0.9,74,73,0,4.79,11.43333333,4.11,0.61,0.59
James McSweeney,The Hammer,15,15,0,43,81,0,0.55,0.52,0.33,1.1,76,77,3,3.94,9.55,4.33,0.42,1
James Te Huna,711,16,9,0,42,44,0.5,0.51,2.75,0.37,0.2,74,75,0,4.04,6,2.99,0.62,0.58
James Vick,The Texecutioner,13,5,0,36,49,0.52,0.39,0.26,0.33,0.7,75,76,0,4.13,8.166666667,3.31,0.6,0.57
James Wallace,Jesse,5,2,0,31,49,0,0.28,0,0,0,70,69,0,0.52,3.816666667,3.41,0.35,0
James Wilks,Lightning,7,4,0,45,81,0,0.45,1.27,0.22,3.8,73,75,0,1.82,11.83333333,2.03,0.5,0.66
Jamey Simmons,The Afro Samurai,7,4,0,31,49,0,0.21,0,0,0,66,70,0,0.79,5.716666667,1.92,0.74,0.5
JameyLyn Horth,324,6,1,0,33,11,0,0.62,0.5,0.25,0,67,66,0,3.97,15,3.53,0.57,0.7
Jamie Colleen,135,4,1,0,38,49,0,0.61,0.52,0.33,1.6,63,65,0,3.11,14.48333333,5.66,0.33,0.5
Jamie Pickett,The Night Wolf,13,10,0,35,49,0.14,0.48,1.44,0.4,0.1,74,80,0,2.84,9.483333333,3.92,0.49,0.69
Jamie Varner,738,21,11,1,39,49,0.64,0.34,3.49,0.53,0.8,68,71,0,2.92,9.6,2.55,0.58,0.66
Jan Blachowicz,75,29,10,1,40,17,0.34,0.5,1.09,0.5,0.3,74,78,0,3.41,13.1,2.91,0.53,0.68
Janaina Silva,JanaIronHand,5,1,0,31,100,0,0,0,0,0,61,60,0,0,4,1.5,0.62,0
Jansey Silva,Jones,7,2,0,28,100,0,0.4,0,0,0,74,67,0,0.46,4.316666667,2.32,0.33,0
Jaqueline Amorim,26,7,1,0,28,18,0,0.52,1.57,0.23,3.7,63,68,0,3.42,14.35,1.81,0.62,0
Jared Cannonier,The Killa Gorilla,17,6,0,39,49,0.36,0.52,0.44,0.42,0,71,77,3,4.68,12.88333333,4.13,0.59,0.63
Jared Gooden,NiteTrain,23,9,0,30,49,0.22,0.49,0.67,1,0.2,72,77,0,5.08,11.21666667,6.68,0.48,0.65
Jared Gordon,Flash,20,6,0,35,49,0.1,0.57,1.95,0.4,0,69,68,0,5.39,11,3.4,0.57,0.62
Jared Hamman,The Messenger,14,6,0,41,49,0.3,0.42,1.57,0.46,0,75,75,0,5.15,7.25,3.93,0.55,0.3
Jared Papazian,The Jackhammer,20,13,0,36,49,0,0.39,0,0,0,68,67,1,3.33,11.11666667,3.81,0.44,0.5
Jared Rosholt,593,14,4,0,37,49,0,0.46,1.83,0.41,0.1,74,75,0,2.08,13.31666667,1.52,0.59,0.66
Jared Vanderaa,736,12,10,0,31,49,0,0.44,0.18,0.5,0,76,80,0,4.96,10.58333333,5.67,0.45,0.2
Jarjis Danho,Man Mountain,7,1,1,40,110,0.51,0.5,0.51,0.16,0,75,74,0,3.38,9.85,5.25,0.49,1
Jarno Errens,209,13,5,1,29,41,0.5,0.38,0,0,0.5,71,73,0,1.67,15,2.93,0.52,0.33
Jarred Brooks,The Monkey God,13,2,0,30,49,0,0.46,4.54,0.57,0.6,63,62,3,2.12,13.23333333,1.66,0.62,0.69
Jasmine Jasudavicius,342,10,3,0,34,11,0.14,0.45,2.16,0.37,0.4,67,68,0,3.95,14.9,4.03,0.51,0.8
Jason Brilz,Hitman,22,6,1,48,49,0,0.4,2.37,0.25,1.3,71,71,0,2.66,9.933333333,1.78,0.65,0.25
Jason Day,Dooms,19,12,0,42,11,0,0.54,1.13,1,0,72,72,0,3.61,3.066666667,3.46,0.47,0
Jason Dent,Dynamite,22,13,0,43,49,0,0.39,0,0,1.4,70,71,0,2.01,11.1,3.7,0.62,0.26
Jason Gonzalez,Nicoya,11,5,0,33,49,0,0.39,0,0,1,74,74,1,3.06,3.766666667,3.13,0.58,0.3
Jason High,The Kansas City Bandit,21,6,0,42,49,0,0.42,2.36,0.63,2.8,68,73,1,1.28,8.3,1.56,0.48,0.37
Jason Jackson,JahSon,7,2,0,33,8,2.8,0.48,0,0,0,73,78,0,2.24,5.35,1.31,0.56,0
Jason Knight,The Kid,20,5,0,31,49,0.39,0.33,1.31,0.31,1.7,70,71,0,2.95,12.73333333,3.02,0.51,0.47
Jason Lambert,The Punisher,26,13,0,48,49,1.01,0.58,1.35,0.36,2.4,75,75,0,3.21,5.566666667,1.84,0.5,0.28
Jason MacDonald,The Athlete,25,16,0,48,11,0,0.52,1.43,0.16,2,75,80,0,1.55,5.983333333,2.7,0.46,0.35
Jason Saggo,605,12,4,0,38,11,0.23,0.39,2.33,0.4,0,71,71,0,2.5,10.73333333,2.94,0.52,0.23
Jason Witt,The Vanilla Gorilla,19,9,0,37,49,0.46,0.44,6.9,0.48,0.9,70,70,0,2.15,5.433333333,2.54,0.52,1
Jason Young,Shotgun,9,6,0,37,81,0,0.37,1.98,0.66,0,69,73,0,2.97,11.35,3.2,0.5,0.55
Javid Basharat,The Snow Leopard,14,0,0,28,30,0,0.61,2.09,0.5,0.2,69,69,0,5.65,12.88333333,2.5,0.63,0.85
Javier Vazquez,Showtime,16,5,0,46,49,0,0.36,2.56,0.52,1.5,67,69,1,2.43,11.71666667,1.99,0.72,0.57
Jay Hieron,The Thoroughbred,23,7,0,47,49,0.67,0.32,4.05,0.6,1,72,75,0,1.66,9.3,1.89,0.61,0.66
Jay Perrin,The Joker,10,7,0,30,49,0,0.46,2.83,0.52,0,67,67,3,3.71,11.93333333,3.9,0.44,0.58
Jean Silva,Lord,12,2,0,27,18,0.78,0.52,1.56,0.5,0,67,69,0,5.83,9.6,4.27,0.57,1
Jeff Curran,Big Frog,36,18,1,46,49,0,0.31,0.35,0.12,1.2,66,69,0,1.54,12.36666667,2.48,0.6,0.35
Jeff Hougland,Hellbound,10,6,0,45,49,0,0.48,0.86,0.18,1.1,67,68,0,1.86,13.01666667,3.46,0.47,0
Jeff Hughes,Lights Out,10,4,0,35,49,0.35,0.51,0.71,0.5,0,74,77,0,3.95,8.45,3.67,0.6,0.45
Jenel Lausa,The Demolition Man,7,5,0,35,62,0.55,0.42,0.55,0.66,0.8,65,68,0,1.44,13.51666667,3.53,0.53,0.51
Jennifer Maia,456,21,10,1,35,18,0,0.38,0.42,0.27,0.1,64,64,0,4.35,14.95,4.52,0.55,0.58
Jens Pulver,Little Evil,27,19,1,49,49,0.44,0.37,0.22,0.33,0.3,67,70,1,2.12,8.566666667,3.13,0.56,0.63
JeongYeong Lee,Korean Tiger,10,1,0,28,7,0.92,0.47,0,0,0.9,70,73,0,2.39,5.433333333,1.84,0.55,0.73
Jeremia Siregar,The Teacher,6,3,0,32,95,0,0.42,0,0,0,62,63,0,2.8,3.933333333,7.37,0.29,0.75
Jeremiah Wells,758,12,3,1,37,49,0.78,0.45,3.89,0.43,1.2,69,74,3,2.52,7.7,1.14,0.47,1
Jeremy Horn,Gumby,91,22,5,48,49,0,0.39,1.83,0.38,1.1,73,74,0,1.19,9.633333333,1.99,0.55,0.29
Jeremy Kennedy,JBC,11,1,0,31,11,0,0.46,5.73,0.52,0,71,71,0,2.22,13.73333333,2.58,0.47,0.66
Jeremy Kimball,Grizzly,15,8,0,33,49,1.41,0.46,1.41,0.2,0,72,72,3,2.81,2.666666667,3.84,0.49,0.5
Jeremy Larsen,411,8,5,0,39,49,0.83,0.48,2.49,0.33,0,70,70,0,4.87,6.033333333,5.75,0.57,0
Jeremy Stephens,Lil Heathen,28,19,0,37,49,0.69,0.4,1.16,0.38,0.4,69,71,0,3.17,11.45,3.05,0.58,0.65
Jerome Rivera,Renegade,10,6,0,28,49,0,0.33,0,0,0,70,72,1,3.21,7.6,2.6,0.51,0.4
