redCorner,blueCorner,winner,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance,redCorner_sig_str_landed_per_minute,blueCorner_sig_str_landed_per_minute,redCorner_fightTime,blueCorner_fightTime,redCorner_sig_str_absorbed_per_minute,blueCorner_sig_str_absorbed_per_minute,redCorner_sig_str_defense,blueCorner_sig_str_defense,redCorner_takedown_defense,blueCorner_takedown_defense
0,1,1,18.0,23.0,8.0,9.0,0.0,0.0,27.0,30.0,18.0,49.0,0.0,0.22,0.51,0.49,1.55,0.67,0.2,1.0,0.8,0.2,72.0,72.0,72.0,77.0,0.0,0.0,3.23,5.08,10.733333333333333,11.216666666666669,4.17,6.68,0.45,0.48,0.42,0.65
0,1,0,23.0,17.0,5.0,7.0,0.0,1.0,28.0,36.0,49.0,81.0,0.49,0.11,0.54,0.46,1.36,1.76,0.47,0.22,1.7,1.6,74.0,75.0,75.0,76.0,0.0,0.0,3.87,2.42,8.666666666666666,8.0,3.6,2.86,0.46,0.45,0.58,0.37
0,1,0,13.0,11.0,3.0,3.0,1.0,0.0,24.0,28.0,49.0,49.0,0.0,0.27,0.51,0.61,1.42,2.19,0.22,0.25,2.2,1.1,73.0,69.0,74.0,71.0,1.0,1.0,4.86,2.55,10.566666666666666,6.866666666666667,3.59,1.84,0.36,0.57,0.55,0.3
0,1,0,7.0,7.0,0.0,2.0,0.0,0.0,25.0,28.0,49.0,49.0,0.0,0.0,0.51,0.33,0.0,1.16,0.0,0.2,0.6,0.6,70.0,69.0,70.0,74.0,3.0,1.0,6.66,0.73,12.983333333333333,12.983333333333333,3.12,2.89,0.51,0.45,0.88,0.33
0,1,1,11.0,12.0,2.0,4.0,0.0,0.0,31.0,30.0,18.0,18.0,0.59,0.13,0.41,0.42,2.36,1.99,0.4,0.51,0.3,0.8,62.0,63.0,62.0,66.0,0.0,0.0,3.89,4.92,10.183333333333334,11.3,4.38,3.33,0.62,0.63,0.66,0.87
0,1,1,9.0,12.0,2.0,1.0,0.0,1.0,30.0,25.0,22.0,14.0,2.38,0.0,0.6,0.4,0.4,11.41,1.0,0.7,0.0,1.6,73.0,70.0,71.0,74.0,1.0,0.0,5.64,0.87,6.3,0.3333333333333333,3.18,1.52,0.58,0.48,0.46,0.0
0,1,1,14.0,16.0,5.0,3.0,0.0,1.0,31.0,28.0,49.0,18.0,0.0,0.38,0.56,0.51,5.29,3.4,0.53,0.75,0.8,0.8,72.0,68.0,71.0,72.0,3.0,0.0,5.6,3.32,9.933333333333334,6.616666666666667,3.35,2.62,0.55,0.47,0.56,0.5
0,1,1,12.0,16.0,7.0,8.0,0.0,0.0,37.0,28.0,11.0,49.0,0.77,0.0,0.42,0.6,1.03,0.62,0.36,0.5,0.8,0.6,66.0,72.0,64.0,71.0,0.0,0.0,3.07,2.8,14.6,12.15,3.55,1.73,0.51,0.55,0.47,0.36
0,1,0,9.0,10.0,1.0,9.0,0.0,0.0,28.0,35.0,81.0,71.0,0.57,0.94,0.59,0.41,0.0,0.0,0.0,0.0,0.0,0.0,74.0,73.0,79.0,77.0,3.0,0.0,5.06,4.5,8.75,6.4,4.68,6.15,0.47,0.36,0.5,0.73
0,1,0,8.0,8.0,0.0,2.0,0.0,1.0,28.0,29.0,81.0,18.0,0.0,0.0,0.52,0.64,2.35,0.0,0.41,0.0,0.5,0.0,76.0,76.0,79.0,78.0,0.0,1.0,4.41,6.57,10.65,15.0,4.01,1.87,0.55,0.64,0.5,0.82
0,1,1,14.0,9.0,9.0,2.0,0.0,0.0,29.0,29.0,114.0,50.0,0.22,0.0,0.37,0.55,0.55,4.89,0.27,0.5,0.7,0.0,68.0,65.0,67.0,66.0,0.0,3.0,3.68,2.96,13.533333333333331,13.3,3.83,1.18,0.51,0.57,0.66,0.75
