,name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
1330,Josh Quinlan,Bushido,6.0,1.0,0,30.0,69,1.67,0.41,0.84,0.12,0.0,72,72,0.0,3.68,5.983333333333333,5.97,0.5,0.6
1332,Josh Samman,Anqa,13.0,4.0,0,35.0,69,0.73,0.52,1.09,0.33,0.4,75,79,0.0,2.08,8.25,2.47,0.34,0.33
1333,Josh Sampo,The Gremlin,11.0,5.0,0,39.0,69,0.0,0.36,1.06,0.33,2.1,64,64,0.0,1.99,10.65,2.96,0.55,0.4
1337,Josh Thomson,The Punk,22.0,9.0,0,45.0,69,0.22,0.47,1.92,0.39,1.3,70,71,0.0,2.59,12.916666666666666,2.12,0.64,0.54
1338,Josh Wick,The White Mamba,12.0,6.0,0,29.0,69,0.0,0.6,0.0,0.0,0.0,69,69,3.0,0.65,4.6,6.52,0.41,0.8
1339,Joshua Burkman,The Peoples Warrior,28.0,16.0,0,43.0,69,0.15,0.43,2.53,0.36,0.3,70,72,0.0,2.69,10.616666666666667,3.13,0.51,0.72
1340,Joshua Stansbury,The Sandman,4.0,8.0,0,39.0,69,0.0,0.54,0.0,0.0,1.0,74,74,0.0,3.22,10.45,3.54,0.54,0.87
1341,Joshua Van,The Fearless,10.0,1.0,0,22.0,116,0.38,0.53,1.14,0.42,0.0,65,65,0.0,9.08,13.166666666666666,5.77,0.6,0.78
1342,Joshua WangKim,Twin Dragon,5.0,2.0,0,31.0,69,0.0,0.4,1.17,1.0,0.0,69,71,3.0,2.95,12.866666666666667,4.43,0.6,0.66
1343,Joshua Weems,Wide Open,11.0,3.0,0,29.0,69,0.0,0.64,4.77,0.4,0.0,68,69,0.0,5.25,3.15,3.34,0.61,1.0
1345,Josiane Nunes,Josi,10.0,1.0,0,30.0,51,1.29,0.44,0.0,0.0,0.0,62,67,1.0,7.22,11.633333333333333,5.85,0.52,0.7
1346,Juan Adams,The Kraken,5.0,3.0,0,32.0,69,0.0,0.55,0.91,0.66,0.0,77,80,0.0,7.09,6.6,4.06,0.34,0.57
1347,Juan Andres Luna,33,12.0,1.0,0,28.0,99,0.0,0.31,0.0,0.0,0.0,67,72,0.0,3.27,15.0,3.0,0.65,0.0
1348,Juan Espino,El Guapo,11.0,2.0,0,43.0,61,0.0,0.7,8.93,0.78,2.4,75,80,0.0,2.38,6.166666666666667,1.95,0.4,0.5
1350,Juan Puerta,Leadfeather,23.0,6.0,0,36.0,69,0.0,0.39,1.0,1.0,0.0,69,71,1.0,1.27,15.0,1.27,0.67,0.0
1353,Julia Avila,Raging Panda,9.0,3.0,0,35.0,69,0.27,0.43,0.54,0.33,0.3,67,68,0.0,2.59,11.183333333333334,2.86,0.5,0.5
1354,Julia Polastri,The Dragon,12.0,3.0,0,25.0,99,0.0,0.52,0.62,1.0,0.6,62,63,0.0,6.19,12.05,5.11,0.62,0.42
1355,Julian Erosa,Juicy J,28.0,12.0,0,34.0,69,0.26,0.48,1.66,0.46,0.6,73,74,1.0,6.22,8.383333333333333,6.35,0.47,0.61
1356,Julian Marquez,The Cuban Missile Crisis,9.0,4.0,0,33.0,69,0.47,0.44,0.0,0.0,2.6,74,72,0.0,4.86,9.133333333333333,4.99,0.51,0.53
1358,Juliana Lima,Ju Thai,9.0,5.0,0,41.0,51,0.0,0.44,1.72,0.31,0.0,65,65,0.0,1.94,13.7,2.11,0.55,0.7
1359,Julianna Pena,The Venezuelan Vixen,12.0,5.0,0,34.0,69,0.0,0.47,1.94,0.55,0.8,66,69,0.0,3.16,12.4,2.3,0.5,0.23
1361,Julija Stoliarenko,680,11.0,8.0,2,30.0,20,0.0,0.4,0.91,0.3,1.4,67,66,0.0,2.81,9.45,4.56,0.44,0.62
1362,Julio Arce,41,18.0,6.0,0,34.0,69,0.12,0.36,0.49,0.3,0.4,67,70,1.0,4.38,12.266666666666667,3.1,0.68,0.95
1366,JunYong Park,The Iron Turtle,17.0,6.0,0,32.0,24,0.13,0.5,1.83,0.5,1.1,70,73,0.0,4.53,11.483333333333333,3.3,0.53,0.57
1367,JunYoung Hong,Drunken Red,11.0,7.0,1,33.0,99,0.0,0.39,0.0,0.0,0.0,68,69,0.0,3.53,15.0,3.27,0.54,0.4
1369,Junior Albini,Baby,14.0,6.0,0,32.0,51,0.51,0.51,1.54,0.37,0.0,75,74,0.0,3.98,5.833333333333333,6.08,0.52,1.0
1370,Junior Assuncao,47,16.0,6.0,0,42.0,51,0.35,0.62,2.43,0.24,0.7,69,72,0.0,3.31,8.633333333333333,2.06,0.44,0.66
1371,Junior Dos Santos,Cigano,21.0,9.0,0,40.0,51,0.85,0.47,0.3,0.5,0.1,76,77,0.0,4.49,10.733333333333333,3.33,0.56,0.81
1373,Junior Tafa,The Juggernaut,5.0,1.0,0,27.0,59,0.91,0.4,0.0,0.0,0.0,75,75,0.0,1.83,8.2,0.55,0.76,0.84
1375,Jussier Formiga,235,23.0,8.0,0,38.0,51,0.17,0.39,1.82,0.35,0.6,65,67,0.0,1.42,11.3,2.34,0.64,0.87
1376,Justin Buchholz,100,15.0,10.0,0,40.0,69,0.4,0.26,0.0,0.0,0.8,72,73,0.0,2.35,7.583333333333333,4.14,0.51,0.33
1377,Justin Burlinson,101,6.0,1.0,0,26.0,40,0.0,0.4,0.0,0.0,9.3,73,74,3.0,1.24,1.6166666666666667,3.09,0.61,1.0
1378,Justin Edwards,Fast Eddy,9.0,5.0,0,41.0,69,0.19,0.42,2.14,0.26,1.0,70,70,0.0,2.68,11.016666666666667,3.32,0.51,0.27
1380,Justin Frazier,The Grizzly Bear,10.0,3.0,0,34.0,69,0.0,0.66,0.0,0.0,0.0,72,75,1.0,1.11,3.6,6.11,0.04,0.0
1381,Justin Gaethje,The Highlight,25.0,4.0,0,35.0,69,0.77,0.6,0.13,0.25,0.0,71,70,0.0,7.35,9.766666666666667,7.5,0.53,0.75
1382,Justin Gonzales,JTrain,6.0,0.0,0,32.0,69,0.0,0.8,14.0,0.73,0.0,69,72,0.0,6.67,15.0,0.87,0.43,1.0
1384,Justin Jaynes,The Guitar Hero,16.0,8.0,0,34.0,69,0.75,0.44,0.75,0.4,1.1,67,68,0.0,3.34,8.033333333333333,5.33,0.62,0.2
1386,Justin Lawrence,The American Kidd,10.0,4.0,0,33.0,69,0.69,0.35,0.72,0.28,0.0,68,67,0.0,3.84,7.233333333333333,2.83,0.67,0.73
1387,Justin Ledet,El Blanco,9.0,4.0,0,35.0,69,0.0,0.39,0.23,0.5,0.2,76,80,0.0,3.35,9.3,4.82,0.49,0.42
1390,Justin McCully,The Insane One,11.0,5.0,2,47.0,69,0.32,0.37,1.28,0.44,0.0,73,73,0.0,1.58,11.733333333333333,2.02,0.46,0.43
1391,Justin Salas,JBomb,12.0,7.0,0,41.0,69,0.3,0.43,2.43,0.2,0.0,68,70,1.0,3.42,7.05,2.96,0.68,0.0
1392,Justin Scoggins,637,11.0,5.0,0,31.0,69,0.15,0.51,3.42,0.63,0.5,67,66,1.0,3.56,11.2,2.16,0.55,0.82
1393,Justin Sumter,The Fort,7.0,3.0,0,34.0,69,0.0,0.48,2.87,1.0,0.0,74,80,1.0,2.68,2.6166666666666667,7.64,0.34,0.0
1394,Justin Tafa,Bad Man,7.0,3.0,0,30.0,43,1.54,0.55,0.0,0.0,0.0,72,74,1.0,5.13,4.866666666666667,5.93,0.49,1.0
1396,Justin Willis,Big Pretty,8.0,2.0,0,36.0,69,0.48,0.59,0.96,0.66,0.0,73,78,1.0,3.37,12.516666666666667,2.57,0.57,0.36
1398,Justine Kish,382,7.0,4.0,0,35.0,0,0.14,0.48,0.87,0.33,0.1,65,64,0.0,4.51,14.85,4.59,0.57,0.5
1399,KB Bhullar,The Bengal,8.0,2.0,0,32.0,67,0.0,0.49,0.0,0.0,0.0,76,78,3.0,4.31,8.35,5.39,0.45,0.0
1400,Kai Kamaka,The Fighting Hawaiian,8.0,4.0,1,29.0,69,0.28,0.57,1.93,0.58,0.3,67,69,0.0,4.96,13.616666666666667,5.29,0.55,0.52
1401,Kai KaraFrance,Dont Blink,24.0,11.0,0,30.0,43,0.63,0.39,0.63,0.33,0.0,64,69,0.0,4.57,13.05,3.24,0.65,0.88
1402,Kaik Brito,96,16.0,5.0,0,26.0,99,0.0,0.38,0.0,0.0,2.0,71,72,0.0,2.8,15.0,3.87,0.55,0.55
1403,Kailan Hill,313,4.0,1.0,0,29.0,69,0.0,0.53,3.0,0.42,0.0,73,77,1.0,2.6,15.0,4.8,0.37,0.0
1404,Kailin Curran,150,4.0,5.0,0,32.0,69,0.0,0.43,2.0,0.57,0.6,64,65,0.0,3.89,11.766666666666667,4.75,0.53,0.61
1405,Kajan Johnson,Ragin,23.0,13.0,1,39.0,67,0.34,0.42,1.54,0.37,0.2,71,75,0.0,2.47,12.5,1.59,0.64,0.62
1406,Kaleio Romero,KO,6.0,2.0,0,27.0,69,0.0,0.48,1.0,0.08,1.0,70,69,3.0,2.6,15.0,3.27,0.5,0.0
1407,Kali Robbins,Pop Tart,6.0,3.0,0,39.0,69,0.0,0.46,2.0,0.33,0.0,63,63,0.0,3.73,15.0,9.4,0.44,0.0
1408,Kalib Starnes,678,17.0,11.0,1,49.0,67,0.0,0.48,1.46,0.33,0.6,75,74,0.0,2.71,10.25,4.43,0.53,0.25
1410,Kaloyan Kolev,387,10.0,1.0,0,31.0,99,0.0,0.45,10.11,0.6,0.0,74,73,0.0,1.12,4.45,4.49,0.42,0.0
1411,Kamal Shalorus,Prince of Persia,9.0,5.0,2,51.0,65,0.62,0.32,2.07,0.5,0.0,68,68,0.0,3.06,10.35,2.99,0.7,0.8
1412,Kamaru Usman,The Nigerian Nightmare,20.0,4.0,0,36.0,46,0.48,0.52,2.82,0.45,0.1,72,76,3.0,4.36,17.45,2.74,0.54,0.89
1413,Kamuela Kirk,The Jawaiian,12.0,6.0,0,29.0,69,0.0,0.5,1.5,0.26,1.2,70,75,3.0,3.22,12.516666666666667,5.87,0.4,0.47
1415,Karine Silva,Killer,17.0,4.0,0,30.0,51,0.82,0.35,2.45,0.6,4.1,65,67,0.0,3.37,4.6,3.37,0.5,0.0
1416,Karl Reed,No Worries,6.0,1.0,0,35.0,69,0.0,0.44,1.06,0.22,0.0,75,78,0.0,2.04,14.216666666666667,3.84,0.38,0.53
1417,Karl Roberson,Baby K,9.0,6.0,0,33.0,69,0.36,0.51,0.72,0.4,0.5,73,74,1.0,2.57,7.55,2.42,0.57,0.42
1418,Karl Williams,761,9.0,1.0,0,34.0,69,0.33,0.49,4.0,0.46,0.0,75,79,0.0,2.93,15.0,1.8,0.62,1.0
1419,Karlos Vemola,743,17.0,5.0,0,38.0,99,0.0,0.44,1.93,0.25,1.7,72,75,0.0,1.67,9.066666666666666,2.13,0.37,0.31
1420,Karo Parisyan,The Heat,24.0,11.0,0,41.0,23,0.0,0.41,5.27,0.59,1.0,70,72,0.0,2.49,11.6,2.19,0.58,0.59
1421,Karol Rosa,590,17.0,6.0,0,29.0,51,0.22,0.56,1.22,0.45,0.0,65,67,0.0,6.34,15.0,4.78,0.49,0.68
1422,Karolina Kowalkiewicz,396,16.0,7.0,0,38.0,50,0.0,0.43,0.36,0.26,0.2,63,64,0.0,5.92,13.033333333333333,5.55,0.59,0.74
1424,Kathryn Paprocki,514,3.0,2.0,0,30.0,69,0.0,0.23,0.0,0.0,0.0,63,63,0.0,1.0,15.0,4.27,0.43,0.0
1425,Katlyn Chookagian,Blonde Fighter,18.0,5.0,0,35.0,69,0.07,0.34,0.27,0.15,0.3,69,68,0.0,4.59,14.116666666666667,4.41,0.63,0.54
1427,Katsunori Kikuno,379,24.0,8.0,2,42.0,54,0.21,0.4,1.88,0.75,0.8,68,66,0.0,2.64,7.166666666666667,2.47,0.61,0.76
1428,Kaue Fernandes,224,8.0,2.0,0,28.0,51,0.0,0.54,1.0,1.0,0.0,69,73,0.0,1.53,0.3333333333333333,0.87,0.59,0.62
1429,Kay Hansen,297,7.0,6.0,0,24.0,69,0.0,0.5,1.83,0.22,0.8,62,63,0.0,3.01,14.366666666666667,3.19,0.51,0.37
1430,Kaynan Kruschewsky,Bahia,15.0,2.0,0,32.0,51,0.0,0.39,2.18,1.0,2.2,72,73,0.0,5.08,3.45,4.79,0.47,0.0
1431,Kazula Vargas,737,12.0,5.0,0,38.0,56,0.0,0.53,0.4,0.25,0.4,68,71,1.0,3.65,9.466666666666667,1.77,0.57,0.3
1435,Keisuke Sasu,Sasuke,11.0,3.0,1,29.0,54,0.0,0.49,3.76,0.4,1.9,65,69,3.0,2.76,7.983333333333333,2.42,0.48,0.61
1438,Keith Jardine,The Dean of Mean,17.0,11.0,2,48.0,69,0.34,0.36,1.18,0.45,0.7,74,76,0.0,3.25,10.25,2.98,0.59,0.62
1444,Kelvin Gastelum,254,18.0,9.0,0,32.0,69,0.45,0.41,0.96,0.3,0.1,69,71,1.0,3.55,13.55,3.23,0.58,0.59
1445,Ken Shamrock,The Worlds Most Dangerous Man,28.0,17.0,2,59.0,69,0.31,0.46,0.94,0.6,2.5,73,72,0.0,1.47,5.55,4.3,0.39,0.44
1446,Ken Stone,682,11.0,4.0,0,41.0,69,0.0,0.49,1.24,0.33,0.6,68,71,1.0,3.85,4.833333333333333,2.9,0.48,0.6
1447,Kendall Grove,Da Spyder,23.0,17.0,0,41.0,69,0.24,0.41,0.49,0.45,1.7,78,79,0.0,2.31,9.466666666666667,2.4,0.54,0.56
1449,Kennedy Nzechukwu,African Savage,12.0,4.0,0,31.0,69,0.41,0.46,0.68,0.5,0.3,77,83,1.0,4.86,9.166666666666666,4.27,0.51,0.8
1450,Kenneth Bergh,66,8.0,0.0,0,34.0,99,0.0,0.75,0.0,0.0,0.0,74,74,0.0,4.56,3.95,1.27,0.28,0.0
1451,Kenneth Cross,The Boss,11.0,3.0,0,29.0,69,0.0,0.57,1.0,0.12,0.0,72,72,1.0,2.2,15.0,1.4,0.55,0.66
1452,Kenny Florian,KenFlo,14.0,6.0,0,47.0,69,0.08,0.4,2.22,0.33,1.3,70,74,1.0,2.41,10.533333333333333,1.85,0.63,0.6
1453,Kenny Robertson,578,15.0,5.0,0,39.0,69,0.34,0.47,1.37,0.26,0.8,70,74,0.0,3.72,9.766666666666667,3.02,0.52,0.57
1456,Ketlen Souza,Esquentadinha,13.0,4.0,0,29.0,51,0.0,0.0,0.0,0.0,0.0,63,63,0.0,0.0,1.75,1.71,0.7,0.0
1457,Ketlen Vieira,Fenomeno,14.0,3.0,0,32.0,51,0.0,0.41,1.51,0.44,0.6,68,68,0.0,3.04,15.366666666666667,3.92,0.51,0.92
1458,Kevin Aguilar,Angel of Death,17.0,5.0,0,35.0,69,0.32,0.4,0.16,0.16,0.0,67,73,0.0,3.96,13.333333333333334,4.81,0.52,0.78
1459,Kevin Borjas,El Gallo Negro,9.0,2.0,0,26.0,28,0.0,0.41,0.0,0.0,0.0,65,68,0.0,5.4,15.0,6.63,0.49,0.56
1460,Kevin Burns,The Fire,12.0,7.0,0,43.0,69,0.57,0.38,0.28,0.5,0.8,70,74,0.0,2.74,10.566666666666666,4.3,0.52,0.47
1461,Kevin Casey,King,9.0,5.0,2,42.0,69,0.2,0.53,0.79,0.22,0.4,71,77,1.0,2.27,8.6,3.76,0.46,0.27
1462,Kevin Croom,Crash,21.0,15.0,0,36.0,69,0.48,0.34,0.48,0.05,0.5,71,73,0.0,2.65,7.833333333333333,3.1,0.41,0.3
1463,Kevin Ferguson,Kimbo Slice,5.0,2.0,0,49.0,18,1.55,0.5,3.1,0.72,1.2,74,77,0.0,2.3,6.283333333333333,3.41,0.38,0.36
1464,Kevin Gray,Pocket Herc,9.0,4.0,0,38.0,69,0.0,0.62,0.0,0.0,0.0,64,67,0.0,3.45,2.9,4.48,0.66,0.0
1465,Kevin Holland,Trailblazer,25.0,10.0,0,31.0,69,0.32,0.49,0.78,0.38,0.5,75,81,0.0,4.39,11.066666666666666,3.22,0.51,0.53
1468,Kevin Jousset,Air,10.0,2.0,0,30.0,58,0.0,0.55,1.51,0.66,0.8,74,75,0.0,8.23,15.0,5.1,0.53,1.0
1469,Kevin Lee,The Motown Phenom,18.0,8.0,0,31.0,69,0.07,0.42,3.18,0.43,0.8,69,77,0.0,3.88,11.433333333333334,3.6,0.5,0.75
1472,Kevin Syler,El Nino Bala,10.0,1.0,0,30.0,99,0.0,0.69,1.0,0.4,2.0,69,71,3.0,5.6,15.0,4.03,0.48,0.77
1473,Kevin Szaflarski,698,11.0,2.0,0,29.0,44,0.0,0.28,0.0,0.0,0.0,77,77,0.0,1.13,15.0,8.07,0.3,0.0
1474,Kevin Vallejos,El Chino,11.0,1.0,0,22.0,99,0.0,0.44,0.0,0.0,0.0,67,68,3.0,4.73,15.0,5.8,0.51,0.66
1475,Khabib Nurmagomedov,The Eagle,29.0,0.0,0,35.0,0,0.17,0.48,5.32,0.48,0.8,70,70,0.0,4.1,13.216666666666667,1.75,0.65,0.84
1476,Khadis Ibragimov,331,8.0,4.0,0,28.0,0,0.0,0.49,0.97,0.3,0.3,75,78,0.0,3.55,11.566666666666666,4.26,0.47,0.8
1478,Khalid Taha,The Warrior,13.0,5.0,0,31.0,47,0.49,0.32,0.0,0.0,0.2,65,69,0.0,2.64,10.283333333333333,4.12,0.46,0.61
1479,Khalil Rountree Jr,596,14.0,5.0,0,33.0,69,1.66,0.39,0.0,0.0,0.1,73,76,1.0,3.84,7.833333333333333,4.18,0.5,0.58
1480,Khama Worthy,The Death Star,16.0,9.0,0,37.0,69,0.67,0.48,0.0,0.0,0.7,71,74,0.0,4.18,4.45,4.45,0.46,0.57
1481,Khamzat Chimaev,Borz,13.0,0.0,0,29.0,99,0.66,0.58,3.99,0.46,2.7,74,75,0.0,5.72,6.45,3.46,0.42,1.0
1482,Khaos Williams,The OxFighter,14.0,3.0,0,29.0,69,0.83,0.39,0.0,0.0,0.0,72,77,0.0,5.77,10.283333333333333,5.33,0.42,0.8
1483,Khusein Askhabov,Nohcho,23.0,1.0,0,28.0,0,0.0,0.26,0.0,0.0,0.0,68,69,0.0,2.0,15.0,4.13,0.56,0.66
1484,Kiefer Crosbie,BDK,10.0,4.0,0,33.0,81,0.0,0.66,0.0,0.0,0.0,71,70,3.0,8.1,9.916666666666666,6.02,0.5,0.0
1485,Kiichi Kunimoto,Strasser,18.0,7.0,2,42.0,54,0.0,0.44,1.59,0.2,0.3,70,71,0.0,1.87,9.433333333333334,3.92,0.41,0.28
1488,Kleydson Rodrigues,KR,8.0,3.0,0,28.0,51,0.43,0.62,0.85,0.25,0.8,65,67,0.0,5.48,8.816666666666666,2.75,0.48,0.63
1489,Klidson Abreu,White Bear,15.0,4.0,0,31.0,51,0.0,0.4,0.64,0.2,0.0,72,74,0.0,2.05,11.716666666666667,2.9,0.55,0.8
1492,Kolton Englund,White Assassin,9.0,4.0,0,30.0,69,0.0,0.25,0.0,0.0,0.0,70,69,0.0,2.31,2.1666666666666665,11.54,0.4,0.0
1494,Korey Kuppe,402,8.0,4.0,0,35.0,69,0.0,0.73,0.0,0.0,1.0,77,77,3.0,0.73,15.0,1.33,0.31,0.69
1495,Koya Kanda,Bushido,12.0,5.0,0,28.0,99,0.0,0.41,2.0,0.18,0.0,69,75,1.0,3.63,15.0,2.9,0.53,1.0
1496,Koyomi Matsushima,476,13.0,6.0,0,31.0,99,0.5,0.47,9.0,0.52,0.0,67,66,0.0,2.7,15.0,2.83,0.59,0.33
1497,Kris McCray,Savage,8.0,5.0,0,42.0,69,0.0,0.45,2.88,0.55,0.0,72,76,0.0,2.69,8.683333333333334,2.57,0.54,0.38
1499,Kron Gracie,281,5.0,2.0,0,35.0,51,0.0,0.44,0.47,0.25,0.5,69,70,1.0,3.74,10.7,6.82,0.53,0.0
1500,Krzysztof Jotko,359,24.0,6.0,0,34.0,50,0.14,0.42,1.33,0.39,0.1,73,77,1.0,2.98,12.65,2.23,0.57,0.82
1501,Krzysztof Soszynski,The Polish Experiment,26.0,12.0,1,46.0,50,0.19,0.39,0.52,0.25,1.0,73,77,2.0,3.37,8.933333333333334,3.13,0.58,0.71
1502,Kuniyoshi Hironaka,315,23.0,9.0,0,47.0,54,0.32,0.4,1.91,0.3,0.6,70,70,0.0,1.98,11.55,3.01,0.54,0.25
1503,Kurt Holobaugh,318,21.0,7.0,0,37.0,69,0.43,0.44,0.87,0.36,1.1,71,70,0.0,4.89,9.9,4.44,0.48,0.5
1504,Kurt Pellegrino,Batman,16.0,7.0,0,44.0,69,0.36,0.43,2.9,0.54,0.8,68,70,0.0,2.45,10.683333333333334,1.94,0.63,0.69
1506,KyeungPyo Kim,Redhorse,11.0,4.0,0,32.0,99,0.97,0.46,3.87,0.4,0.0,69,71,0.0,6.77,7.75,6.32,0.63,1.0
1507,Kyle Bochniak,Killer B,8.0,5.0,0,36.0,69,0.14,0.31,1.14,0.15,0.0,67,70,0.0,2.63,15.0,5.11,0.58,0.62
1508,Kyle Bradley,88,19.0,12.0,0,41.0,69,0.0,0.4,0.65,0.5,0.0,69,71,0.0,1.99,5.8,3.45,0.58,0.4
1509,Kyle Daukaus,155,11.0,4.0,0,30.0,69,0.0,0.52,2.12,0.25,1.9,75,76,1.0,3.22,9.716666666666667,2.94,0.42,0.82
1510,Kyle Driscoll,KD,12.0,3.0,0,29.0,69,0.0,0.32,2.0,0.18,0.0,71,74,0.0,2.73,15.0,2.6,0.58,0.0
1512,Kyle Kingsbury,Kingsbu,11.0,6.0,0,41.0,69,0.15,0.4,2.64,0.41,0.0,76,79,0.0,2.97,11.366666666666667,3.81,0.51,0.52
1513,Kyle Prepolec,Killshot,12.0,7.0,0,34.0,67,0.0,0.34,0.0,0.0,0.0,70,70,1.0,3.2,15.0,4.7,0.54,0.4
1515,Kyle Stewart,Gunz Up,11.0,3.0,0,35.0,69,0.0,0.35,1.32,0.2,0.0,72,76,0.0,1.41,7.583333333333333,2.42,0.43,0.6
1517,Kyler Phillips,The Matrix,11.0,2.0,0,28.0,69,0.57,0.46,2.87,0.46,0.6,68,72,0.0,5.36,11.183333333333334,3.36,0.61,0.7
1518,Kyoji Horiguchi,323,19.0,2.0,0,33.0,54,0.53,0.45,2.0,0.44,0.0,65,66,0.0,3.6,14.083333333333334,2.45,0.62,0.55
1519,Kyron Bowen,Bullseye,9.0,5.0,0,30.0,69,0.0,0.57,0.0,0.0,0.0,75,73,0.0,2.73,1.4666666666666668,2.05,0.4,0.0
1520,Kyung Ho Kang,Mr Perfect,19.0,10.0,0,36.0,24,0.37,0.48,1.87,0.57,0.8,69,73,0.0,3.35,12.316666666666666,3.33,0.55,0.68
1521,Lance Benoist,65,7.0,2.0,0,35.0,69,0.25,0.51,1.5,0.33,0.0,71,72,1.0,3.68,15.0,2.7,0.56,0.61
1522,Lance Lawrence,The Tornado,4.0,1.0,0,30.0,69,0.0,0.5,1.0,1.0,0.0,73,74,0.0,5.87,15.0,9.8,0.24,0.5
1523,Lando Vannata,Groovy,12.0,7.0,2,31.0,69,0.5,0.45,1.09,0.37,0.3,69,71,0.0,4.52,11.65,4.76,0.55,0.69
1524,Landon Quinones,The Lone Wolf,7.0,2.0,1,28.0,69,0.0,0.41,0.0,0.0,0.0,69,70,1.0,9.87,15.0,11.4,0.54,1.0
1525,Lara Procopio,556,7.0,2.0,0,28.0,51,0.0,0.58,3.15,0.47,0.3,64,67,0.0,5.64,14.3,6.5,0.47,0.5
1528,Laureano Staropoli,Pepi,9.0,5.0,0,30.0,2,0.0,0.34,0.83,0.26,0.0,73,71,0.0,3.31,15.0,3.73,0.54,0.48
1529,Lavar Johnson,Big,18.0,10.0,0,46.0,69,0.92,0.55,0.61,0.66,0.6,76,82,0.0,5.39,5.433333333333334,2.54,0.55,0.54
1530,Lazar Stojadinovic,The Bronx Bomber,12.0,5.0,0,34.0,69,0.0,0.29,0.0,0.0,0.0,67,68,1.0,1.82,6.583333333333333,1.97,0.59,0.0
1531,Leah Letson,Nidas,5.0,3.0,0,31.0,69,0.0,0.41,0.51,0.5,0.0,67,71,1.0,3.06,14.716666666666667,3.84,0.52,0.76
1532,Leandro Issa,Brodinho,13.0,6.0,0,40.0,51,0.0,0.37,2.38,0.22,1.2,67,69,0.0,2.08,12.6,3.17,0.58,0.5
1533,Leandro Silva,Buscape,20.0,6.0,1,38.0,51,0.0,0.48,1.76,0.37,0.4,69,72,0.0,2.39,12.75,2.08,0.63,0.65
1536,Leon Aliu,The Albanian Lion,10.0,2.0,0,34.0,99,0.0,0.5,0.0,0.0,0.0,72,74,0.0,6.32,1.5833333333333335,10.11,0.38,0.0
1537,Leon Edwards,Rocky,22.0,3.0,0,32.0,66,0.26,0.53,1.25,0.34,0.4,74,74,1.0,2.75,16.916666666666668,2.34,0.54,0.7
1538,Leon Shahbazyan,643,7.0,2.0,0,28.0,69,1.46,0.52,1.46,0.5,0.0,76,74,0.0,6.33,10.266666666666667,8.18,0.32,0.0
1539,Leonard Garcia,Bad Boy,18.0,13.0,1,44.0,69,0.3,0.24,0.3,0.26,0.5,70,68,0.0,2.77,11.7,4.79,0.52,0.42
1540,Leonardo Damiani,Puppy,10.0,3.0,1,33.0,99,0.0,0.23,0.0,0.0,0.0,70,69,0.0,1.67,2.4,4.17,0.37,0.5
1542,Leonardo Mafra,Macarrao,13.0,4.0,0,34.0,51,0.0,0.48,2.12,0.83,0.4,70,70,0.0,4.55,8.85,4.38,0.43,0.69
1543,Leonardo Santos,621,18.0,7.0,1,43.0,51,0.38,0.46,0.88,0.25,0.2,72,75,0.0,2.82,10.833333333333334,3.4,0.54,0.86
1545,Leslie Smith,The Peacemaker,10.0,7.0,1,41.0,69,0.48,0.4,0.0,0.0,0.0,69,66,0.0,7.56,9.016666666666667,8.41,0.51,0.62
1546,Levan Makashvili,The Hornet,15.0,2.0,1,35.0,69,0.0,0.54,3.67,0.42,0.0,68,68,0.0,2.87,15.0,2.07,0.61,0.85
1548,Li Jingliang,The Leech,19.0,8.0,0,35.0,85,0.83,0.42,1.25,0.41,0.0,72,71,0.0,4.46,10.616666666666667,3.84,0.57,0.6
1549,Li Kaiwen,The Underdog,12.0,5.0,0,28.0,85,0.93,0.54,0.0,0.0,0.0,69,72,3.0,4.57,8.1,3.65,0.57,0.9
1550,Liana Jojua,She Wolf,8.0,5.0,0,28.0,72,0.0,0.3,1.71,0.66,1.3,64,62,0.0,2.42,8.783333333333333,5.32,0.54,0.5
1551,Liliya Shakirova,644,8.0,2.0,0,32.0,99,0.0,0.3,0.0,0.0,0.0,64,65,0.0,2.7,8.516666666666667,2.58,0.74,0.0
1552,Lina Lansberg,Elbow Queen,10.0,8.0,0,41.0,34,0.21,0.55,0.52,0.27,0.1,67,65,0.0,2.69,13.166666666666666,3.87,0.44,0.47
1554,Liudvik Sholinian,Palmeyros,9.0,4.0,1,34.0,23,0.0,0.3,0.0,0.0,0.0,70,71,0.0,2.5,15.0,5.67,0.55,0.66
1555,Livinha Souza,The Brazilian Gangsta,14.0,4.0,0,32.0,51,0.0,0.45,2.54,0.45,1.4,63,63,0.0,1.75,10.833333333333334,3.6,0.56,0.4
1556,Liz Carmouche,Girlrilla,13.0,7.0,0,39.0,69,0.0,0.54,2.57,0.51,0.3,66,66,0.0,2.78,13.766666666666667,2.51,0.61,0.65
1559,Logan Urban,Hulk,5.0,1.0,0,29.0,99,0.0,0.66,0.0,0.0,0.0,72,72,0.0,2.55,0.7833333333333333,16.6,0.27,0.0
1560,Loik Radzhabov,The Tajik Tank,17.0,5.0,1,33.0,103,0.0,0.42,7.3,0.52,0.0,71,69,0.0,2.61,11.3,5.31,0.46,0.5
