,name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
2227,Sam Sicilia,649,15.0,8.0,0,38.0,69,0.14,0.33,1.45,0.43,0.9,68,67,0.0,2.46,8.65,3.55,0.59,0.7
2228,Sam Stout,Hands of Stone,20.0,12.0,1,39.0,69,0.19,0.28,0.63,0.38,0.1,69,70,0.0,4.17,11.916666666666666,4.08,0.57,0.77
2230,Sandra Lavado,Peruvian Zombie,10.0,3.0,0,29.0,99,0.0,0.37,0.0,0.0,0.0,67,66,0.0,0.87,15.0,2.67,0.34,0.33
2231,SangHoon Yoo,Assassin,8.0,2.0,0,34.0,24,0.0,0.65,0.53,1.0,0.5,72,74,0.0,4.83,14.083333333333334,6.11,0.4,0.69
2232,SangWon Kim,No Problem,10.0,6.0,1,30.0,24,2.24,0.57,0.69,0.25,0.0,69,69,0.0,3.18,10.85,3.73,0.58,0.72
2233,Sangwook Kim,Frogman,9.0,3.0,0,30.0,24,0.0,0.51,1.65,0.18,0.8,72,72,0.0,5.57,9.066666666666666,7.94,0.48,0.66
2234,Santiago Ponzinibbio,Argentine Dagger,30.0,7.0,0,37.0,2,0.8,0.41,0.48,0.3,0.0,72,73,0.0,4.9,11.016666666666667,4.67,0.61,0.6
2235,Santo Curatolo,148,6.0,2.0,0,29.0,69,0.0,0.39,2.0,0.33,0.0,63,62,1.0,1.4,15.0,6.07,0.34,1.0
2236,Saparbeg Safarov,604,9.0,3.0,0,37.0,0,0.0,0.48,2.52,0.41,0.0,73,78,0.0,4.03,7.45,2.96,0.47,0.33
2237,Sara McMann,484,13.0,6.0,0,43.0,69,0.08,0.46,4.38,0.65,0.5,66,66,0.0,2.26,10.683333333333334,1.92,0.47,0.5
2238,Sarah Alpar,Too Sweet,9.0,6.0,0,32.0,69,0.0,0.44,1.61,0.26,0.4,64,63,1.0,2.36,12.416666666666666,6.06,0.38,0.2
2239,Sarah Frota,A Treta,9.0,2.0,0,36.0,51,0.54,0.52,0.0,0.0,0.0,66,69,1.0,4.52,9.216666666666667,2.57,0.55,0.53
2240,Sarah Kaufman,371,18.0,4.0,0,38.0,67,0.0,0.46,0.38,0.57,0.0,65,66,0.0,6.65,13.316666666666666,4.0,0.62,0.81
2241,Sasha Palatnikov,512,6.0,4.0,0,34.0,99,0.0,0.53,0.72,1.0,0.0,73,72,3.0,6.69,6.916666666666667,5.44,0.52,0.7
2244,Scott Askham,45,14.0,4.0,0,35.0,40,0.89,0.46,0.44,0.18,0.7,75,75,1.0,3.03,11.266666666666667,3.52,0.52,0.65
2248,Scott Holtzman,Hot Sauce,14.0,6.0,0,40.0,69,0.36,0.47,1.88,0.56,0.2,69,69,0.0,4.32,12.866666666666667,3.66,0.55,0.67
2249,Scott Jorgensen,Young Guns,15.0,12.0,0,41.0,69,0.36,0.4,2.61,0.45,0.7,65,66,0.0,3.37,11.25,3.41,0.65,0.59
2252,Scott Smith,Hands of Steel,18.0,11.0,0,44.0,69,0.88,0.27,0.12,0.06,0.5,72,70,0.0,1.9,8.5,5.87,0.5,0.58
2254,Sean Brady,89,16.0,1.0,0,31.0,69,0.17,0.53,3.29,0.57,1.2,70,72,0.0,3.77,12.4,3.55,0.61,0.87
2258,Sean McCorkle,Big Sexy,17.0,7.0,0,47.0,69,0.0,0.44,2.12,0.4,4.2,79,81,0.0,0.85,4.716666666666667,2.48,0.52,0.33
2259,Sean OConnell,The Real OC,17.0,9.0,0,40.0,69,0.81,0.48,0.0,0.0,0.5,73,74,0.0,5.46,7.95,6.77,0.45,0.3
2260,Sean OMalley,Suga,17.0,1.0,0,29.0,69,1.14,0.61,0.43,0.42,0.4,71,72,3.0,7.25,8.75,3.51,0.61,0.62
2261,Sean Pierson,The Punisher,14.0,6.0,0,47.0,67,0.19,0.39,0.39,0.18,0.4,72,76,1.0,3.84,12.95,3.73,0.64,0.66
