name,nickname,wins,losses,draws,height,weight,reach,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins)
Hayder Hassan,Hulk,6,3,0,"5' 10""",170 lbs.,--,,20-Oct-82,2.11,46%,3.16,48%,0,0%,25%,0
Ahmad Hassanzada,Lion of the Ring,10,2,0,"6' 1""",155 lbs.,"75""",Orthodox,20-Nov-96,2.59,34%,4.42,40%,2.5,22%,0%,0
Daiki Hata,DJ Taiki,17,11,7,"5' 6""",139 lbs.,--,Orthodox,24-Aug-82,1.44,39%,1.42,55%,0.67,100%,35%,0.7
John Hathaway,The Hitman,17,2,0,"6' 1""",170 lbs.,"75""",Orthodox,23-Jul-87,3.4,40%,1.8,62%,2.61,43%,60%,0.9
Phil Hawes,No Hype,12,6,0,"6' 0""",185 lbs.,"77""",Orthodox,8-Jan-89,5.33,59%,3.72,55%,2.11,34%,90%,0.2
Justin Hawes,The Hawk,6,9,0,"5' 11""",205 lbs.,--,,13-Jan-79,0,0%,3.41,37%,0,0%,0%,0
Chris Hawk,,5,10,0,"6' 1""",205 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Del Hawkins,The Filipino Delight,22,17,0,"5' 5""",135 lbs.,--,Orthodox,--,1.15,27%,2.01,46%,0,0%,0%,0
Tommy Hayden,Wild Card,11,3,0,"5' 9""",145 lbs.,--,Southpaw,11-Mar-86,1.48,27%,2.05,55%,3.42,33%,66%,0
Mike Hayes,,20,12,2,"6' 4""",230 lbs.,--,Orthodox,--,4.87,55%,1.47,77%,0,0%,75%,4
Ryan Hayes,,7,6,0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
Gerric Hayes,,8,11,0,"5' 10""",--,--,,--,0,0%,0,0%,0,0%,0%,0
Josh Haynes,Bring the Pain,14,11,0,"5' 9""",170 lbs.,--,Orthodox,30-Jul-77,1.25,22%,4.03,52%,0.94,18%,42%,0
Dustin Hazelett,McLovin,12,7,0,"6' 1""",170 lbs.,"76""",Orthodox,29-Apr-86,2.24,40%,3.51,46%,0.55,50%,25%,4.1
James Head,,9,4,0,"6' 1""",170 lbs.,"73""",Orthodox,9-Feb-84,2.75,48%,3.11,49%,0.41,100%,66%,0.8
