name,nickname,wins_x,losses_x,draws_x,height_x,weight_x,reach_x,stance_x,dOB_x,sig_strikes_landed_per_min_x,sig_striking_accuracy_%_x,sig_strike_absorbed_per_min_x,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_x,takedown_average(average_takedown_landed_per_fifteen_min)_x,takedown_accuracy_%_x,takedown_defense(%_of_opponent_takedown_not_landed)_x,sub_average(average_subs_attempted_per_15_mins)_x,wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge,wins,losses,draws,height,weight_y,reach,stance_y,dOB_y,sig_strikes_landed_per_min_y,sig_striking_accuracy_%_y,sig_strike_absorbed_per_min_y,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_y,takedown_average(average_takedown_landed_per_fifteen_min)_y,takedown_accuracy_%_y,takedown_defense(%_of_opponent_takedown_not_landed)_y,sub_average(average_subs_attempted_per_15_mins)_y
Darrion Caldwell,The Wolf,10.0,1.0,0,"5' 10""",135 lbs.,--,,19-Dec-87,0.85,34%,0.57,60%,3.41,66%,100%,0.8,,,,,,,,,,,,,,,,,,,,left_only,10,1,0,"5' 10""",135 lbs.,--,,19-Dec-87,0.85,34%,0.57,60%,3.41,66%,100%,0.8
Darryl Cobb,!,6.0,8.0,0,"5' 9""",185 lbs.,--,,4-Aug-80,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,8,0,"5' 9""",185 lbs.,--,,4-Aug-80,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Dave Cochran,!,26.0,29.0,1,"5' 6""",155 lbs.,--,,10-May-73,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,26,29,1,"5' 6""",155 lbs.,--,,10-May-73,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Dave Courchaine,!,20.0,7.0,0,"5' 8""",170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,20,7,0,"5' 8""",170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Dave Dalgliesh,!,30.0,19.0,2,"6' 2""",205 lbs.,--,Orthodox,5-Apr-78,0.0,0%,1.85,50%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,30,19,2,"6' 2""",205 lbs.,--,Orthodox,5-Apr-78,0.0,0%,1.85,50%,0.0,0%,0%,0.0
Dave Jansen,!,20.0,4.0,0,"5' 9""",155 lbs.,"73""",Orthodox,21-Aug-79,2.94,33%,3.67,58%,2.79,28%,38%,0.9,,,,,,,,,,,,,,,,,,,,left_only,20,4,0,"5' 9""",155 lbs.,"73""",Orthodox,21-Aug-79,2.94,33%,3.67,58%,2.79,28%,38%,0.9
Dave Martin,!,0.0,2.0,0,"6' 0""",205 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,2,0,"6' 0""",205 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Dave Menne,The Warrior,45.0,17.0,2,"5' 10""",170 lbs.,--,Orthodox,29-Jul-74,1.84,44%,1.99,42%,0.46,50%,57%,2.5,,,,,,,,,,,,,,,,,,,,left_only,45,17,2,"5' 10""",170 lbs.,--,Orthodox,29-Jul-74,1.84,44%,1.99,42%,0.46,50%,57%,2.5
Dave Phillips,The Rockstar,13.0,7.0,0,"6' 0""",185 lbs.,--,Orthodox,12-Jan-80,0.0,0%,2.0,25%,0.0,0%,0%,10.0,,,,,,,,,,,,,,,,,,,,left_only,13,7,0,"6' 0""",185 lbs.,--,Orthodox,12-Jan-80,0.0,0%,2.0,25%,0.0,0%,0%,10.0
Dave Rickels,The Caveman,18.0,4.0,0 (2 NC),"5' 11""",155 lbs.,--,,5-Jan-89,4.29,59%,5.53,42%,0.0,0%,25%,0.0,,,,,,,,,,,,,,,,,,,,left_only,18,4,0 (2 NC),"5' 11""",155 lbs.,--,,5-Jan-89,4.29,59%,5.53,42%,0.0,0%,25%,0.0
