name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Lina Lansberg,Elbow Queen,10.0,8.0,0,42.0,52,0.21,0.55,0.52,0.27,0.1,67,65,0.0,2.69,13.166666666666666,3.87,0.44,0.47
Liudvik Sholinian,Palmeyros,9.0,4.0,1,34.0,63,0.0,0.3,0.0,0.0,0.0,70,71,0.0,2.5,15.0,5.67,0.55,0.66
Livinha Souza,The Brazilian Gangsta,14.0,4.0,0,33.0,57,0.0,0.45,2.54,0.45,1.4,63,63,0.0,1.75,10.833333333333334,3.6,0.56,0.4
Liz Carmouche,Girlrilla,13.0,7.0,0,40.0,17,0.0,0.54,2.57,0.51,0.3,66,66,0.0,2.78,13.766666666666667,2.51,0.61,0.65
Logan Urban,Hulk,5.0,1.0,0,30.0,97,0.0,0.66,0.0,0.0,0.0,72,72,0.0,2.55,0.7833333333333333,16.6,0.27,0.0
Loik Radzhabov,The Tajik Tank,18.0,5.0,1,33.0,106,0.45,0.42,6.73,0.57,0.0,71,69,0.0,2.93,11.133333333333333,4.73,0.45,0.55
Loma Lookboonmee,433,9.0,3.0,0,28.0,12,0.0,0.57,1.9,0.5,0.1,61,61,0.0,4.1,13.85,2.48,0.53,0.72
Loopy Godinez,266,12.0,4.0,0,30.0,26,0.1,0.48,3.04,0.46,1.0,62,61,0.0,4.13,13.45,3.58,0.63,0.84
Lorenz Larkin,The Monsoon,18.0,6.0,0,37.0,17,0.54,0.46,0.27,0.42,0.1,71,72,0.0,3.53,11.2,2.74,0.63,0.79
Lorenzo Hood,Dream Killer,14.0,5.0,0,35.0,17,0.0,0.61,0.0,0.0,0.0,75,80,1.0,2.64,4.933333333333334,4.66,0.11,1.0
Louis Cosce,139,7.0,2.0,0,28.0,17,1.04,0.45,1.04,0.2,0.5,69,71,0.0,4.31,9.666666666666666,5.35,0.47,0.5
Louis Gaudinot,Goodnight,8.0,4.0,0,39.0,17,0.0,0.37,0.57,0.4,1.1,63,63,0.0,2.34,10.616666666666667,6.42,0.48,0.31
Louis Smolka,Da Last Samurai,17.0,9.0,0,32.0,17,0.19,0.47,1.69,0.35,1.8,69,68,0.0,4.67,9.4,4.11,0.53,0.32
Lu Kai,The Last Gladiator,8.0,5.0,0,30.0,18,0.0,0.43,2.62,0.5,2.6,69,69,0.0,3.76,3.8166666666666664,5.51,0.55,1.0
Luan Chagas,Tarzan,15.0,3.0,1,31.0,57,1.29,0.47,0.32,0.12,0.3,72,75,0.0,4.16,11.6,3.19,0.62,0.85
Luan Lacerda,402,12.0,3.0,0,31.0,57,0.0,0.44,1.26,0.25,0.6,67,71,0.0,4.52,11.95,7.07,0.47,0.75
Luana Carolina,Dread,10.0,4.0,0,31.0,57,0.13,0.49,0.38,0.42,0.6,66,69,0.0,4.63,13.133333333333333,3.63,0.49,0.76
Luana Pinheiro,602,11.0,3.0,0,31.0,57,0.5,0.4,2.24,0.33,0.2,62,62,0.0,3.57,10.033333333333333,4.17,0.63,0.66
Luana Santos,684,7.0,1.0,0,24.0,57,0.0,0.55,1.61,0.5,0.0,66,67,0.0,6.21,9.35,3.64,0.64,0.66
Lucas Alexander,The Lion,8.0,4.0,0,28.0,57,0.81,0.55,0.0,0.0,0.0,71,73,0.0,5.23,6.183333333333334,1.83,0.71,0.57
Lucas Almeida,20,15.0,3.0,0,33.0,57,0.88,0.43,0.0,0.0,0.0,71,71,0.0,4.94,10.25,4.92,0.46,0.5
Lucas Martins,Mineiro,19.0,3.0,0,35.0,57,0.73,0.35,0.0,0.0,0.5,72,72,1.0,2.87,8.8,4.14,0.6,0.76
Lucas Rocha,Fenomeno,17.0,1.0,0,23.0,57,2.83,0.53,0.0,0.0,0.0,63,64,0.0,1.51,5.3,4.15,0.33,0.66
Lucie Pudilova,617,14.0,9.0,0,30.0,119,0.22,0.37,0.55,0.27,0.7,68,67,0.0,3.68,13.533333333333333,3.83,0.51,0.66
Ludovit Klein,Mr Highlight,22.0,4.0,1,29.0,121,0.69,0.55,1.66,0.5,0.0,67,72,1.0,3.93,12.033333333333333,3.45,0.53,0.9
Luigi Fioravanti,228,26.0,15.0,0,43.0,17,0.31,0.42,3.76,0.63,0.9,68,70,0.0,2.23,10.65,2.21,0.69,0.67
Luigi Vendramini,The Italian Stallion,9.0,3.0,0,28.0,57,0.56,0.4,1.11,0.15,0.6,68,73,0.0,2.82,6.733333333333333,3.82,0.57,1.0
Luis Gomez,Tiger Junior,4.0,1.0,0,29.0,58,0.0,0.33,4.48,0.5,0.0,67,68,0.0,1.57,13.383333333333333,4.03,0.55,0.33
Luis Henrique,KLB,10.0,5.0,0,30.0,97,0.0,0.43,3.09,0.36,1.0,74,74,0.0,1.81,12.133333333333333,2.22,0.47,0.5
Luis Pajuelo,Corazon de Leon,8.0,2.0,0,29.0,47,0.0,0.57,0.0,0.0,0.0,70,69,0.0,6.03,3.2333333333333334,8.2,0.52,0.66
Luis Pena,Violent Bob Ross,9.0,3.0,0,30.0,15,0.15,0.46,1.17,0.33,1.2,75,75,1.0,3.66,12.833333333333334,3.12,0.51,0.48
Luis Saldana,668,16.0,7.0,1,33.0,17,0.64,0.5,0.64,0.17,0.2,71,73,0.0,5.16,14.15,3.65,0.6,0.44
Luiz Cane,Banha,17.0,7.0,0,43.0,57,1.67,0.41,0.56,0.28,0.3,74,77,1.0,4.79,5.983333333333333,5.0,0.6,1.0
